Site,Plot,Date,Time,Observer,Transect,Position,OW Bluestem TL,OW Bluestem TR,OW Bluestem BL,OW Bluestem BR,Johnson TL,Johnson TR,Johnson BL,Johnson BR,Present?,Notes
Whitney,Flood,6/7/23,12:34,LR,CTR,48,0,0,0,0,0,0,0,0,No,
Whitney,Flood,6/7/23,12:34,LR,QL2,0,0,1,1,0,0,0,0,0,Yes,
Whitney,Flood,6/7/23,12:34,LR,QL2,3,1,0,0,1,0,0,0,0,Yes,
Whitney,Flood,6/7/23,12:34,LR,QL2,6,0,0,0,0,0,0,0,0,No,
Whitney,Flood,6/7/23,12:34,LR,QL2,9,0,0,1,0,0,0,0,0,Yes,
Whitney,Flood,6/7/23,12:34,LR,QL2,12,1,0,1,1,0,0,0,0,Yes,
Whitney,Flood,6/7/23,12:34,LR,QL2,15,0,0,1,1,0,0,0,0,Yes,
Whitney,Flood,6/7/23,12:34,LR,QL2,18,1,1,0,0,0,0,0,0,Yes,
Whitney,Flood,6/7/23,12:34,LR,QL2,21,1,0,0,0,0,0,0,0,Yes,
Whitney,Flood,6/7/23,12:34,LR,QL2,24,1,0,0,0,0,0,0,0,Yes,
Whitney,Flood,6/7/23,12:34,LR,QL2,27,0,0,0,0,0,0,0,0,No,
Whitney,Flood,6/7/23,12:34,LR,QL2,30,0,0,0,0,0,0,0,0,No,
Whitney,Flood,6/7/23,12:34,LR,QL2,33,1,1,0,0,0,0,0,0,Yes,
Whitney,Flood,6/7/23,12:34,LR,QL2,36,0,0,0,0,0,0,0,0,No,
Whitney,Flood,6/7/23,12:34,LR,QL2,39,0,0,1,1,0,0,0,0,Yes,
Whitney,Flood,6/7/23,12:34,LR,QL2,42,1,0,1,1,0,0,0,0,Yes,
Whitney,Flood,6/7/23,12:34,LR,QL2,45,0,0,0,0,0,0,0,0,No,
Whitney,Flood,6/7/23,12:34,LR,QL2,48,0,0,0,0,0,0,0,0,No,
Whitney,Main,6/7/23,9:06,EAL,QL1,0,0,0,0,0,0,0,0,0,No,
Whitney,Main,6/7/23,9:06,EAL,QL1,3,0,0,0,0,0,0,0,0,No,
Whitney,Main,6/7/23,9:06,EAL,QL1,6,0,0,0,0,0,0,0,0,No,
Whitney,Main,6/7/23,9:06,EAL,QL1,9,0,0,0,0,0,0,0,0,No,
Whitney,Main,6/7/23,9:06,EAL,QL1,12,0,0,0,0,0,0,0,0,No,
Whitney,Main,6/7/23,9:06,EAL,QL1,15,0,1,0,0,0,0,0,0,Yes,
Whitney,Main,6/7/23,9:06,EAL,QL1,18,1,1,1,1,0,0,0,0,Yes,
Whitney,Main,6/7/23,9:06,EAL,QL1,21,0,0,0,1,0,0,0,0,Yes,
Whitney,Main,6/7/23,9:06,EAL,QL1,24,0,0,0,0,0,0,0,0,No,
Whitney,Main,6/7/23,9:06,EAL,QL1,27,0,0,1,0,0,0,0,0,Yes,
Whitney,Main,6/7/23,9:06,EAL,QL1,30,0,0,0,0,0,0,0,0,No,
Whitney,Main,6/7/23,9:06,EAL,QL1,33,0,1,0,1,0,0,0,0,Yes,
Whitney,Main,6/7/23,9:06,EAL,QL1,36,0,0,0,0,0,0,0,0,No,
Whitney,Main,6/7/23,9:06,EAL,QL1,39,0,0,0,0,0,0,0,0,No,
Whitney,Main,6/7/23,9:06,EAL,QL1,42,0,0,0,0,0,0,0,0,No,
Whitney,Main,6/7/23,9:06,EAL,QL1,45,0,0,0,0,0,0,0,0,No,
Whitney,Main,6/7/23,9:06,EAL,QL1,48,0,0,0,0,0,0,0,0,No,
Whitney,Main,6/7/23,9:06,EAL,CTR,0,0,0,0,0,0,0,0,0,No,
Whitney,Main,6/7/23,9:06,EAL,CTR,3,0,0,0,0,0,0,0,0,No,
Whitney,Main,6/7/23,9:06,EAL,CTR,6,0,0,0,0,0,0,0,0,No,
Whitney,Main,6/7/23,9:06,LR,CTR,9,0,0,0,1,0,0,0,0,Yes,
Whitney,Main,6/7/23,9:06,LR,CTR,12,0,0,0,0,0,0,0,0,No,
Whitney,Main,6/7/23,9:06,LR,CTR,15,0,0,1,0,0,0,0,0,Yes,
Whitney,Main,6/7/23,9:06,LR,CTR,18,1,1,1,0,0,0,0,0,Yes,
Whitney,Main,6/7/23,9:06,LR,CTR,21,0,0,0,0,0,0,0,0,No,
Whitney,Main,6/7/23,9:06,LR,CTR,24,0,0,1,1,0,0,0,0,Yes,
Whitney,Main,6/7/23,9:06,LR,CTR,27,0,0,0,1,0,0,0,0,Yes,
Whitney,Main,6/7/23,9:06,LR,CTR,30,1,0,0,0,0,0,0,0,Yes,
Whitney,Main,6/7/23,9:06,LR,CTR,33,0,0,0,0,0,0,0,0,No,
Whitney,Main,6/7/23,9:06,LR,CTR,36,0,0,1,1,0,0,0,0,Yes,
Whitney,Main,6/7/23,9:06,LR,CTR,39,1,0,1,1,0,0,0,0,Yes,
Whitney,Main,6/7/23,9:06,LR,CTR,42,1,1,1,1,0,0,0,0,Yes,
Whitney,Main,6/7/23,9:06,LR,CTR,45,0,0,0,0,0,0,0,0,No,
Whitney,Main,6/7/23,9:06,LR,CTR,48,0,1,1,0,0,0,0,0,Yes,
Whitney,Main,6/7/23,9:06,LR,QL2,0,1,0,1,0,0,0,0,0,Yes,
Whitney,Main,6/7/23,9:06,LR,QL2,3,0,0,0,0,0,0,0,0,No,
Whitney,Main,6/7/23,9:06,LR,QL2,6,0,1,1,1,0,0,0,0,Yes,
Whitney,Main,6/7/23,9:06,LR,QL2,9,0,1,0,0,0,0,0,0,Yes,
Whitney,Main,6/7/23,9:06,LR,QL2,12,1,0,1,1,0,0,0,0,Yes,
Whitney,Main,6/7/23,9:06,LR,QL2,15,1,1,0,0,0,0,0,0,Yes,
Whitney,Main,6/7/23,9:06,LR,QL2,18,1,1,1,1,0,0,0,0,Yes,
Whitney,Main,6/7/23,9:06,LR,QL2,21,1,1,1,1,0,0,0,0,Yes,
Whitney,Main,6/7/23,9:06,LR,QL2,24,1,1,1,1,0,0,0,0,Yes,
Whitney,Main,6/7/23,9:06,LR,QL2,27,1,1,1,1,0,0,0,0,Yes,
Whitney,Main,6/7/23,9:06,LR,QL2,30,1,1,1,1,0,0,0,0,Yes,
Whitney,Main,6/7/23,9:06,LR,QL2,33,1,1,0,1,0,0,0,0,Yes,
Whitney,Main,6/7/23,9:06,LR,QL2,36,1,0,1,1,0,0,0,0,Yes,
Whitney,Main,6/7/23,9:06,LR,QL2,39,0,1,1,1,0,0,0,0,Yes,
Whitney,Main,6/7/23,9:06,LR,QL2,42,1,0,1,0,0,0,0,0,Yes,
Whitney,Main,6/7/23,9:06,LR,QL2,45,0,1,1,1,0,0,0,0,Yes,
Whitney,Main,6/7/23,9:06,LR,QL2,48,0,0,0,0,0,0,0,0,No,
Whitney,Woods,6/6/23,10:54,EAL,QL1,0,1,1,0,1,0,0,0,0,Yes,
Whitney,Woods,6/6/23,10:54,EAL,QL1,3,0,0,0,1,0,0,0,0,Yes,
Whitney,Woods,6/6/23,10:54,EAL,QL1,6,0,0,0,0,0,1,0,0,Yes,
Whitney,Woods,6/6/23,10:54,EAL,QL1,9,0,1,0,0,0,1,0,0,Yes,
Whitney,Woods,6/6/23,10:54,EAL,QL1,12,0,0,0,0,0,0,0,0,No,
Whitney,Woods,6/6/23,10:54,EAL,QL1,15,1,0,0,0,0,0,0,0,Yes,
Whitney,Woods,6/6/23,10:54,EAL,QL1,18,0,1,0,1,0,0,0,0,Yes,
Whitney,Woods,6/6/23,10:54,EAL,QL1,21,0,1,0,0,0,0,0,0,Yes,
Whitney,Woods,6/6/23,10:54,EAL,QL1,24,0,0,0,0,0,0,0,0,No,
Whitney,Woods,6/6/23,10:54,EAL,QL1,27,0,1,0,0,0,0,0,0,Yes,
Whitney,Woods,6/6/23,10:54,EAL,QL1,30,1,1,1,1,0,0,0,0,Yes,
Whitney,Woods,6/6/23,10:54,EAL,QL1,33,1,1,1,1,0,0,0,0,Yes,
Whitney,Woods,6/6/23,10:54,EAL,QL1,36,1,1,1,1,0,0,0,0,Yes,
Whitney,Woods,6/6/23,10:54,EAL,QL1,39,1,1,0,1,0,0,0,0,Yes,
Whitney,Woods,6/6/23,10:54,EAL,QL1,42,1,1,1,1,0,0,0,0,Yes,
Whitney,Woods,6/6/23,10:54,EAL,QL1,45,1,1,1,1,0,0,0,0,Yes,
Whitney,Woods,6/6/23,10:54,EAL,QL1,48,1,1,1,0,0,0,0,0,Yes,
Whitney,Woods,6/6/23,10:54,EAL,CTR,0,0,0,0,0,0,0,0,0,No,
Whitney,Woods,6/6/23,10:54,EAL,CTR,3,0,0,0,0,0,0,0,0,No,
Whitney,Woods,6/6/23,10:54,EAL,CTR,6,0,0,0,0,0,0,0,0,No,
Whitney,Woods,6/6/23,10:54,EAL,CTR,9,0,0,0,0,0,0,0,0,No,
Whitney,Woods,6/6/23,10:54,EAL,CTR,12,0,0,0,0,0,0,0,0,No,
Whitney,Woods,6/6/23,10:54,EAL,CTR,15,0,0,0,0,0,0,0,0,No,
Whitney,Woods,6/6/23,10:54,EAL,CTR,18,0,0,0,0,0,0,0,0,No,
Whitney,Woods,6/6/23,10:54,EAL,CTR,21,0,0,0,0,0,0,0,0,No,
Whitney,Woods,6/6/23,10:54,EAL,CTR,24,0,0,0,0,0,0,0,0,No,
Whitney,Woods,6/6/23,10:54,EAL,CTR,27,0,0,0,0,0,0,0,0,No,
Whitney,Woods,6/6/23,10:54,EAL,CTR,30,0,0,0,0,0,0,0,0,No,
Whitney,Woods,6/6/23,10:54,EAL,CTR,33,0,0,0,0,0,0,0,0,No,
Whitney,Woods,6/6/23,10:54,EAL,CTR,36,0,0,0,0,0,0,0,0,No,
Whitney,Woods,6/6/23,10:54,EAL,CTR,39,0,0,0,0,0,0,0,0,No,
Whitney,Woods,6/6/23,10:54,EAL,CTR,42,0,0,0,0,0,0,0,0,No,
Whitney,Woods,6/6/23,10:54,EAL,CTR,45,0,0,0,0,0,0,0,0,No,
Whitney,Woods,6/6/23,10:54,EAL,CTR,48,0,0,0,0,0,0,0,0,No,
Whitney,Woods,6/6/23,10:54,EAL,QL2,0,0,0,0,0,0,0,0,0,No,
Whitney,Woods,6/6/23,10:54,EAL,QL2,3,0,0,0,0,0,0,0,0,No,
Whitney,Woods,6/6/23,10:54,EAL,QL2,6,0,0,0,0,0,0,0,0,No,
Whitney,Woods,6/6/23,10:54,EAL,QL2,9,0,0,0,0,0,0,0,0,No,
Whitney,Woods,6/6/23,10:54,EAL,QL2,12,0,0,0,0,0,0,0,0,No,
Whitney,Woods,6/6/23,10:54,EAL,QL2,15,0,0,0,0,0,0,0,0,No,
Whitney,Woods,6/6/23,10:54,LR,QL2,18,0,0,0,0,0,0,0,0,No,
Whitney,Woods,6/6/23,10:54,LR,QL2,21,0,0,0,0,0,0,0,0,No,
Whitney,Woods,6/6/23,10:54,LR,QL2,24,0,0,0,0,0,0,0,0,No,
Whitney,Woods,6/6/23,10:54,LR,QL2,27,0,0,0,0,0,0,0,0,No,
Whitney,Woods,6/6/23,10:54,LR,QL2,30,0,0,0,0,0,0,0,0,No,
Whitney,Woods,6/6/23,10:54,LR,QL2,33,0,0,0,0,0,0,0,0,No,
Whitney,Woods,6/6/23,10:54,LR,QL2,36,0,0,0,0,0,0,0,0,No,
Whitney,Woods,6/6/23,10:54,LR,QL2,39,0,0,0,1,0,0,0,0,Yes,
Whitney,Woods,6/6/23,10:54,LR,QL2,42,0,0,0,1,0,0,0,0,Yes,
Whitney,Woods,6/6/23,10:54,LR,QL2,45,0,0,0,0,0,0,0,0,No,
Whitney,Woods,6/6/23,10:54,LR,QL2,48,0,0,0,0,0,0,0,0,No,
Waco,Area 111,6/5/23,14:01,MC,QL1,0,0,0,0,0,0,0,0,0,No,
Waco,Area 111,6/5/23,14:01,MC,QL1,3,0,0,0,0,0,0,0,0,No,
Waco,Area 111,6/5/23,14:01,MC,QL1,6,0,0,0,0,0,0,0,0,No,
Waco,Area 111,6/5/23,14:01,MC,QL1,9,0,0,0,0,0,0,0,0,No,
Waco,Area 111,6/5/23,14:01,MC,QL1,12,0,0,0,0,0,0,0,0,No,
Waco,Area 111,6/5/23,14:01,MC,QL1,15,0,0,0,0,0,0,0,0,No,
Waco,Area 111,6/5/23,14:01,MC,QL1,18,0,0,0,0,0,0,0,0,No,
Waco,Area 111,6/5/23,14:01,MC,QL1,21,0,0,0,0,0,0,0,0,No,
Waco,Area 111,6/5/23,14:01,MC,QL1,24,0,0,0,0,0,0,0,0,No,
Waco,Area 111,6/5/23,14:01,MC,QL1,27,0,0,0,0,0,0,0,0,No,
Waco,Area 111,6/5/23,14:01,MC,QL1,30,1,1,1,1,0,0,0,0,Yes,
Waco,Area 111,6/5/23,14:01,MC,QL1,33,0,0,0,0,0,0,0,0,No,
Waco,Area 111,6/5/23,14:01,MC,QL1,36,0,0,0,0,0,0,0,0,No,
Waco,Area 111,6/5/23,14:01,MC,QL1,39,0,0,0,0,0,0,0,0,No,
Waco,Area 111,6/5/23,14:01,MC,QL1,42,1,1,0,1,0,0,0,0,Yes,
Waco,Area 111,6/5/23,14:01,MC,QL1,45,0,0,0,0,0,0,0,0,No,
Waco,Area 111,6/5/23,14:01,MC,QL1,48,1,1,1,1,0,0,0,0,Yes,
Waco,Area 111,6/5/23,14:01,MC,CTR,0,0,0,0,0,0,0,0,0,No,
Waco,Area 111,6/5/23,14:01,MC,CTR,3,0,0,0,0,0,0,0,0,No,
Waco,Area 111,6/5/23,14:01,MC,CTR,6,0,0,0,0,0,0,0,0,No,
Waco,Area 111,6/5/23,14:01,MC,CTR,9,0,0,0,0,0,0,0,0,No,
Waco,Area 111,6/5/23,14:01,MC,CTR,12,0,0,0,0,0,0,0,0,No,
Waco,Area 111,6/5/23,14:01,MC,CTR,15,0,0,0,0,0,0,0,0,No,
Waco,Area 111,6/5/23,14:01,MC,CTR,18,0,0,0,0,0,0,0,0,No,
Waco,Area 111,6/5/23,14:01,MC,CTR,21,1,1,1,1,0,0,0,0,Yes,
Waco,Area 111,6/5/23,14:01,MC,CTR,24,0,1,1,0,0,0,0,0,Yes,
Waco,Area 111,6/5/23,14:01,MC,CTR,27,0,0,1,0,0,0,0,0,Yes,
Waco,Area 111,6/5/23,14:01,MC,CTR,30,0,0,0,0,0,0,0,0,No,
Waco,Area 111,6/5/23,14:01,MC,CTR,33,0,0,0,0,0,0,0,0,No,
Waco,Area 111,6/5/23,14:01,MC,CTR,36,0,0,1,0,0,0,0,0,Yes,
Waco,Area 111,6/5/23,14:01,MC,CTR,39,0,0,1,0,0,0,0,0,Yes,
Waco,Area 111,6/5/23,14:01,MC,CTR,42,0,0,0,0,0,0,0,0,No,
Waco,Area 111,6/5/23,14:01,MC,CTR,45,0,0,0,0,0,0,0,0,No,
Waco,Area 111,6/5/23,14:01,MC,CTR,48,0,0,0,0,0,0,0,0,No,
Waco,Area 111,6/5/23,14:01,MC,QL2,0,0,0,0,0,0,0,0,0,No,
Waco,Area 111,6/5/23,14:01,MC,QL2,3,0,0,0,0,0,0,0,0,No,
Waco,Area 111,6/5/23,14:01,MC,QL2,6,0,0,0,0,0,0,0,0,No,
Waco,Area 111,6/5/23,14:01,MC,QL2,9,0,0,0,0,0,0,0,0,No,
Waco,Area 111,6/5/23,14:01,MC,QL2,12,0,0,0,0,0,0,0,0,No,
Waco,Area 111,6/5/23,14:01,MC,QL2,15,0,0,0,0,0,0,0,0,No,
Waco,Area 111,6/5/23,14:01,MC,QL2,18,0,0,0,0,0,0,0,0,No,
Waco,Area 111,6/5/23,14:01,MC,QL2,21,1,1,1,0,0,0,0,0,Yes,
Waco,Area 111,6/5/23,14:01,MC,QL2,24,0,0,0,0,0,0,0,0,No,
Waco,Area 111,6/5/23,14:01,MC,QL2,27,1,0,0,1,0,0,0,0,Yes,
Waco,Area 111,6/5/23,14:01,MC,QL2,30,0,0,0,0,0,0,0,0,No,
Waco,Area 111,6/5/23,14:01,MC,QL2,33,0,0,0,0,0,0,0,0,No,
Waco,Area 111,6/5/23,14:01,MC,QL2,36,0,0,0,0,0,0,0,0,No,
Waco,Area 111,6/5/23,14:01,MC,QL2,39,0,0,0,0,0,0,0,0,No,
Waco,Area 111,6/5/23,14:01,MC,QL2,42,0,0,0,0,0,0,0,0,No,
Waco,Area 111,6/5/23,14:01,MC,QL2,45,0,0,0,0,0,0,0,0,No,
Waco,Area 111,6/5/23,14:01,MC,QL2,48,0,0,0,0,0,0,0,0,No,
Waco,Area 112,6/2/23,14:01,LR,QL1,0,1,1,1,1,0,0,0,0,Yes,
Waco,Area 112,6/2/23,14:01,LR,QL1,3,1,1,1,1,0,0,0,0,Yes,
Waco,Area 112,6/2/23,14:01,LR,QL1,6,1,1,0,0,0,0,0,0,Yes,
Waco,Area 112,6/2/23,14:01,LR,QL1,9,0,1,1,1,0,0,0,1,Yes,
Waco,Area 112,6/2/23,14:01,LR,QL1,12,1,1,1,1,0,0,0,0,Yes,
Waco,Area 112,6/2/23,14:01,LR,QL1,15,1,1,1,1,0,0,0,0,Yes,
Waco,Area 112,6/2/23,14:01,LR,QL1,18,0,1,0,1,0,0,0,0,Yes,
Waco,Area 112,6/2/23,14:01,LR,QL1,21,1,1,1,1,0,0,0,0,Yes,
Waco,Area 112,6/2/23,14:01,LR,QL1,24,0,0,1,1,0,0,0,0,Yes,
Waco,Area 112,6/2/23,14:01,LR,QL1,27,1,1,0,1,0,0,0,0,Yes,
Waco,Area 112,6/2/23,14:01,LR,QL1,30,1,1,1,0,0,0,0,0,Yes,
Waco,Area 112,6/2/23,14:01,LR,QL1,33,1,1,1,1,0,0,0,0,Yes,
Waco,Area 112,6/2/23,14:01,LR,QL1,36,0,1,0,1,0,0,0,0,Yes,
Waco,Area 112,6/2/23,14:01,LR,QL1,39,1,1,1,1,0,0,0,0,Yes,
Waco,Area 112,6/2/23,14:01,LR,QL1,42,1,1,1,1,0,0,0,0,Yes,
Waco,Area 112,6/2/23,14:01,LR,QL1,45,1,1,1,1,0,0,0,0,Yes,
Waco,Area 112,6/2/23,14:01,LR,QL1,48,1,1,1,1,0,0,0,0,Yes,
Waco,Area 112,6/2/23,14:01,LR,CTR,0,1,1,1,1,0,0,0,0,Yes,
Waco,Area 112,6/2/23,14:01,LR,CTR,3,1,1,1,1,0,0,0,0,Yes,
Waco,Area 112,6/2/23,14:01,LR,CTR,6,1,1,0,0,0,0,0,0,Yes,
Waco,Area 112,6/2/23,14:01,LR,CTR,9,0,0,0,0,1,0,0,1,Yes,
Waco,Area 112,6/2/23,14:01,LR,CTR,12,1,1,1,1,0,0,0,0,Yes,
Waco,Area 112,6/2/23,14:01,LR,CTR,15,1,1,1,1,0,0,0,0,Yes,
Waco,Area 112,6/2/23,14:01,LR,CTR,18,0,0,0,0,0,0,0,0,No,
Waco,Area 112,6/2/23,14:01,LR,CTR,21,0,1,0,1,0,0,0,0,Yes,
Waco,Area 112,6/2/23,14:01,LR,CTR,24,1,1,1,1,0,0,0,0,Yes,
Waco,Area 112,6/2/23,14:01,LR,CTR,27,1,1,1,1,0,0,0,0,Yes,
Waco,Area 112,6/2/23,14:01,LR,CTR,30,1,1,1,1,0,0,0,0,Yes,
Waco,Area 112,6/2/23,14:01,LR,CTR,33,1,1,1,1,0,0,0,0,Yes,
Waco,Area 112,6/2/23,14:01,LR,CTR,36,1,1,1,1,0,0,0,0,Yes,
Waco,Area 112,6/2/23,14:01,LR,CTR,39,1,0,1,0,0,0,0,0,Yes,
Waco,Area 112,6/2/23,14:01,LR,CTR,42,1,1,1,1,0,0,0,0,Yes,
Waco,Area 112,6/2/23,14:01,LR,CTR,45,1,1,1,0,0,0,0,0,Yes,
Waco,Area 112,6/2/23,14:01,LR,CTR,48,0,0,1,0,1,0,1,1,Yes,
Waco,Area 112,6/2/23,14:01,LR,QL2,0,1,1,1,0,0,0,0,0,Yes,
Waco,Area 112,6/2/23,14:01,LR,QL2,3,1,1,1,1,0,0,0,0,Yes,
Waco,Area 112,6/2/23,14:01,LR,QL2,6,1,1,1,1,0,0,0,0,Yes,
Waco,Area 112,6/2/23,14:01,LR,QL2,9,1,1,1,1,0,0,0,0,Yes,
Waco,Area 112,6/2/23,14:01,LR,QL2,12,1,1,1,1,0,0,0,0,Yes,
Waco,Area 112,6/2/23,14:01,LR,QL2,15,0,0,1,1,0,1,0,0,Yes,
Waco,Area 112,6/2/23,14:01,LR,QL2,18,1,1,1,1,0,0,0,0,Yes,
Waco,Area 112,6/2/23,14:01,LR,QL2,21,1,1,0,0,0,0,0,0,Yes,
Waco,Area 112,6/2/23,14:01,LR,QL2,24,1,1,1,1,0,0,0,0,Yes,
Waco,Area 112,6/2/23,14:01,LR,QL2,27,1,0,0,1,1,0,0,0,Yes,
Waco,Area 112,6/2/23,14:01,LR,QL2,30,1,1,1,1,0,0,0,0,Yes,
Waco,Area 112,6/2/23,14:01,LR,QL2,33,1,1,1,1,0,0,0,0,Yes,
Waco,Area 112,6/2/23,14:01,LR,QL2,36,1,1,1,1,0,0,0,0,Yes,
Waco,Area 112,6/2/23,14:01,LR,QL2,39,1,1,1,1,0,0,0,0,Yes,
Waco,Area 112,6/2/23,14:01,LR,QL2,42,1,1,1,1,0,0,0,0,Yes,
Waco,Area 112,6/2/23,14:01,LR,QL2,45,1,1,0,0,0,0,0,0,Yes,
Waco,Area 112,6/2/23,14:01,LR,QL2,48,1,1,1,1,0,0,0,0,Yes,
Waco,Area 12,6/1/23,13:12,"MC, EA, LR, RH, HA",QL1,0,0,0,0,0,1,1,1,1,Yes,
Waco,Area 12,6/1/23,13:12,"MC, EA, LR, RH, HA",QL1,3,1,0,1,0,0,1,1,1,Yes,
Waco,Area 12,6/1/23,13:12,"MC, EA, LR, RH, HA",QL1,6,1,1,1,0,0,0,0,0,Yes,
Waco,Area 12,6/1/23,13:12,"MC, EA, LR, RH, HA",QL1,9,1,0,1,0,1,0,0,0,Yes,
Waco,Area 12,6/1/23,13:12,"MC, EA, LR, RH, HA",QL1,12,0,1,1,1,0,0,0,0,Yes,
Waco,Area 12,6/1/23,13:12,"MC, EA, LR, RH, HA",QL1,15,1,1,1,1,0,0,0,0,Yes,
Waco,Area 12,6/1/23,13:12,"MC, EA, LR, RH, HA",QL1,18,1,1,1,1,0,0,0,0,Yes,
Waco,Area 12,6/1/23,13:12,"MC, EA, LR, RH, HA",QL1,21,0,0,1,0,0,0,0,0,Yes,
Waco,Area 12,6/1/23,13:12,"MC, EA, LR, RH, HA",QL1,24,1,0,1,0,1,1,1,0,Yes,
Waco,Area 12,6/1/23,13:12,"MC, EA, LR, RH, HA",QL1,27,0,0,0,0,1,1,0,1,Yes,
Waco,Area 12,6/1/23,13:12,"MC, EA, LR, RH, HA",QL1,30,0,1,1,0,1,0,0,1,Yes,
Waco,Area 12,6/1/23,13:12,"MC, EA, LR, RH, HA",QL1,33,1,1,1,1,1,0,0,0,Yes,
Waco,Area 12,6/1/23,13:12,"MC, EA, LR, RH, HA",QL1,36,1,0,0,1,0,0,1,0,Yes,
Waco,Area 12,6/1/23,13:12,"MC, EA, LR, RH, HA",QL1,39,1,0,1,1,0,1,0,1,Yes,
Waco,Area 12,6/1/23,13:12,"MC, EA, LR, RH, HA",QL1,42,1,1,0,1,0,1,0,1,Yes,
Waco,Area 12,6/1/23,13:12,"MC, EA, LR, RH, HA",QL1,45,1,0,1,1,1,1,1,1,Yes,
Waco,Area 12,6/1/23,13:12,"MC, EA, LR, RH, HA",QL1,48,0,0,1,1,1,1,0,0,Yes,
Waco,Area 12,6/5/23,13:12,"MC, EA, LR, RH, HA",CTR,0,0,0,0,0,0,0,0,0,No,6/5/2023
Waco,Area 12,6/5/23,13:12,"MC, EA, LR, RH, HA",CTR,3,0,0,0,0,0,1,0,0,Yes,
Waco,Area 12,6/5/23,13:12,"MC, EA, LR, RH, HA",CTR,6,0,0,0,0,0,0,0,0,No,
Waco,Area 12,6/5/23,13:12,"MC, EA, LR, RH, HA",CTR,9,0,0,0,0,0,0,0,0,No,
Waco,Area 12,6/5/23,13:12,"MC, EA, LR, RH, HA",CTR,12,0,0,0,0,1,0,0,0,Yes,
Waco,Area 12,6/5/23,13:12,"MC, EA, LR, RH, HA",CTR,15,0,0,0,0,0,0,1,0,Yes,
Waco,Area 12,6/5/23,13:12,"MC, EA, LR, RH, HA",CTR,18,0,0,0,0,0,0,0,0,No,
