site,plot,date,observer,start_time,transectID,position,herb,wood,litter,bare,rocky,canopy,automatic_sum,notes,year,season,,,,,,,,,,,
Whitney,Flood,6/7/2023,EAL,14:12,CENTER,27,8,0,8,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Flood,6/7/2023,EAL,14:12,CENTER,30,11,0,5,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Flood,6/7/2023,EAL,14:12,CENTER,33,12,0,4,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Flood,6/7/2023,EAL,14:12,CENTER,36,14.5,0,1.5,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Flood,6/7/2023,EAL,14:12,CENTER,39,10,0,6,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Flood,6/7/2023,EAL,14:12,CENTER,42,11,0,5,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Flood,6/7/2023,EAL,14:12,CENTER,45,11.5,0,4.5,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Flood,6/7/2023,EAL,14:12,CENTER,48,12,0,4,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Flood,6/7/2023,EAL,14:34,QL2,0,11,0,4,1,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Flood,6/7/2023,EAL,14:34,QL2,3,13,0,3,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Flood,6/7/2023,EAL,14:34,QL2,6,13.5,0,2.5,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Flood,6/7/2023,EAL,14:34,QL2,9,13,0,3,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Flood,6/7/2023,EAL,14:34,QL2,12,10,0,3,3,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Flood,6/7/2023,EAL,14:34,QL2,15,11,0,5,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Flood,6/7/2023,EAL,14:34,QL2,18,5,0,11,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Flood,6/7/2023,EAL,14:34,QL2,21,13,1.5,1.5,0,0,0,16,woody = dead smilax,2023,summer,,,,,,,,,,,
Whitney,Flood,6/7/2023,EAL,14:34,QL2,24,5,0,11,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Flood,6/7/2023,EAL,14:34,QL2,27,12,0,4,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Flood,6/7/2023,EAL,14:34,QL2,30,10.5,2.5,3,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Flood,6/7/2023,EAL,14:34,QL2,33,13,0,3,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Flood,6/7/2023,EAL,14:34,QL2,36,12,0,4,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Flood,6/7/2023,EAL,14:34,QL2,39,12,0,4,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Flood,6/7/2023,EAL,14:34,QL2,42,12.5,0,3.5,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Flood,6/7/2023,EAL,14:34,QL2,45,12,0,4,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Flood,6/7/2023,EAL,14:34,QL2,48,12.5,1.5,2,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Main,6/7/2023,EAL,9:06,QL1,0,10.5,0,5.5,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Main,6/7/2023,EAL,9:06,QL1,3,11,0,5,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Main,6/7/2023,EAL,9:06,QL1,6,9,0,7,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Main,6/7/2023,EAL,9:06,QL1,9,10,0,6,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Main,6/7/2023,EAL,9:06,QL1,12,12,0,4,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Main,6/7/2023,EAL,9:06,QL1,15,11.5,0,4.5,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Main,6/7/2023,EAL,9:06,QL1,18,12,0,4,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Main,6/7/2023,EAL,9:06,QL1,21,12.5,0,3.5,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Main,6/7/2023,EAL,9:06,QL1,24,9,0,7,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Main,6/7/2023,EAL,9:06,QL1,27,11,0,5,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Main,6/7/2023,EAL,9:06,QL1,30,11,0,5,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Main,6/7/2023,EAL,9:06,QL1,33,12.5,0,3.5,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Main,6/7/2023,EAL,9:06,QL1,36,12,0,4,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Main,6/7/2023,EAL,9:06,QL1,39,13,0,3,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Main,6/7/2023,EAL,9:06,QL1,42,10,0,6,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Main,6/7/2023,EAL,9:06,QL1,45,6,0,10,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Main,6/7/2023,EAL,9:06,QL1,48,11,0,5,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Main,6/7/2023,EAL,9:06,CENTER,0,4.5,0,11.5,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Main,6/7/2023,EAL,9:06,CENTER,3,11,0,5,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Main,6/7/2023,EAL,9:06,CENTER,6,10,0,6,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Main,6/7/2023,EAL,9:06,CENTER,9,10.5,0,5.5,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Main,6/7/2023,EAL,9:06,CENTER,12,12,0,4,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Main,6/7/2023,EAL,9:06,CENTER,15,11,0,5,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Main,6/7/2023,EAL,9:06,CENTER,18,4,0,12,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Main,6/7/2023,EAL,9:06,CENTER,21,5,0,11,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Main,6/7/2023,EAL,9:06,CENTER,24,3,0,13,0,0,0.5,16,,2023,summer,,,,,,,,,,,
Whitney,Main,6/7/2023,EAL,9:06,CENTER,27,11.5,0,3,1.5,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Main,6/7/2023,EAL,9:06,CENTER,30,12,0,4,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Main,6/7/2023,EAL,9:06,CENTER,33,6.5,0,9.5,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Main,6/7/2023,EAL,9:06,CENTER,36,11,0,5,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Main,6/7/2023,EAL,9:06,CENTER,39,13,0,3,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Main,6/7/2023,EAL,9:06,CENTER,42,11,0,5,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Main,6/7/2023,EAL,9:06,CENTER,45,10,0,6,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Main,6/7/2023,EAL,9:06,CENTER,48,12,0,4,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Main,6/7/2023,EAL,10:58,QL2,0,11,0,5,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Main,6/7/2023,EAL,10:58,QL2,3,12,0,4,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Main,6/7/2023,EAL,10:58,QL2,6,12,0,4,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Main,6/7/2023,EAL,10:58,QL2,9,10.5,0.5,5,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Main,6/7/2023,EAL,10:58,QL2,12,12,0,4,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Main,6/7/2023,EAL,10:58,QL2,15,7,0,9,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Main,6/7/2023,EAL,10:58,QL2,18,10,0,6,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Main,6/7/2023,EAL,10:58,QL2,21,10,0,6,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Main,6/7/2023,EAL,10:58,QL2,24,12,0,4,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Main,6/7/2023,EAL,10:58,QL2,27,9.5,0,6.5,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Main,6/7/2023,EAL,10:58,QL2,30,6,0,9.5,0.5,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Main,6/7/2023,EAL,10:58,QL2,33,11,0,5,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Main,6/7/2023,EAL,10:58,QL2,36,10.5,0,5.5,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Main,6/7/2023,EAL,10:58,QL2,39,7,0,9,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Main,6/7/2023,EAL,10:58,QL2,42,10,0,6,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Main,6/7/2023,EAL,10:58,QL2,45,3,0,13,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Main,6/7/2023,EAL,10:58,QL2,48,4,0,12,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Woods,6/6/2023,EAL,10:54,QL1,0,11.5,0,4.5,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Woods,6/6/2023,EAL,10:54,QL1,3,10,0,6,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Woods,6/6/2023,EAL,10:54,QL1,6,4,0,12,0,0,3,16,,2023,summer,,,,,,,,,,,
Whitney,Woods,6/6/2023,EAL,10:54,QL1,9,5,0,11,0,0,12,16,,2023,summer,,,,,,,,,,,
Whitney,Woods,6/6/2023,EAL,10:54,QL1,12,8,0,8,0,0,15,16,,2023,summer,,,,,,,,,,,
Whitney,Woods,6/6/2023,EAL,10:54,QL1,15,6,0,10,0,0,6,16,,2023,summer,,,,,,,,,,,
Whitney,Woods,6/6/2023,EAL,10:54,QL1,18,12,0,4,0,0,4,16,,2023,summer,,,,,,,,,,,
Whitney,Woods,6/6/2023,EAL,10:54,QL1,21,12,0,4,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Woods,6/6/2023,EAL,10:54,QL1,24,11.5,0,4.5,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Woods,6/6/2023,EAL,10:54,QL1,27,1,0,15,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Woods,6/6/2023,EAL,10:54,QL1,30,1.5,0,14.5,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Woods,6/6/2023,EAL,10:54,QL1,33,13,0,3,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Woods,6/6/2023,EAL,10:54,QL1,36,12,0,4,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Woods,6/6/2023,EAL,10:54,QL1,39,5,0,11,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Woods,6/6/2023,EAL,10:54,QL1,42,12,0,4,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Woods,6/6/2023,EAL,10:54,QL1,45,7,0,9,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Woods,6/6/2023,EAL,10:54,QL1,48,8,0,8,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Woods,6/6/2023,EAL,14:49,CENTER,0,13,0,3,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Woods,6/6/2023,EAL,14:49,CENTER,3,12,0,4,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Woods,6/6/2023,EAL,14:49,CENTER,6,11.5,0,4.5,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Woods,6/6/2023,EAL,14:49,CENTER,9,12,0,4,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Woods,6/6/2023,EAL,14:49,CENTER,12,12.5,0.5,3,0,0,0,16,woody = smilax,2023,summer,,,,,,,,,,,
Whitney,Woods,6/6/2023,EAL,14:49,CENTER,15,13.5,2,0.5,0,0,0,16,woody = smilax,2023,summer,,,,,,,,,,,
Whitney,Woods,6/6/2023,EAL,14:49,CENTER,18,12.5,0.5,3,0,0,0,16,woody = smilax,2023,summer,,,,,,,,,,,
Whitney,Woods,6/6/2023,EAL,14:49,CENTER,21,11,0,5,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Woods,6/6/2023,EAL,14:49,CENTER,24,9.5,0,6.5,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Woods,6/6/2023,EAL,14:49,CENTER,27,6,0,10,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Woods,6/6/2023,EAL,14:49,CENTER,30,5.5,0,10.5,0,0,5,16,,2023,summer,,,,,,,,,,,
Whitney,Woods,6/6/2023,EAL,14:49,CENTER,33,14,0,2,0,0,3,16,,2023,summer,,,,,,,,,,,
Whitney,Woods,6/6/2023,EAL,14:49,CENTER,36,8,0,8,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Woods,6/6/2023,EAL,14:49,CENTER,39,10.5,0,5.5,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Woods,6/6/2023,EAL,14:49,CENTER,42,12,0,4,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Woods,6/6/2023,EAL,14:49,CENTER,45,11.5,0,4.5,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Woods,6/6/2023,EAL,14:49,CENTER,48,12.5,0,3.5,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Woods,6/6/2023,EAL,15:50,QL2,0,12.5,0,3.5,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Woods,6/6/2023,EAL,15:50,QL2,3,12,0,4,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Woods,6/6/2023,EAL,15:50,QL2,6,12.5,0,3,0.5,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Woods,6/6/2023,EAL,15:50,QL2,9,12.5,0,3.5,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Woods,6/6/2023,EAL,15:50,QL2,12,11,0,5,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Woods,6/6/2023,EAL,15:50,QL2,15,12,0,4,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Woods,6/6/2023,EAL,15:50,QL2,18,13,0,3,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Woods,6/6/2023,EAL,15:50,QL2,21,13,0,3,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Woods,6/6/2023,EAL,15:50,QL2,24,11,0,5,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Woods,6/6/2023,EAL,15:50,QL2,27,10.5,0,5.5,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Woods,6/6/2023,EAL,15:50,QL2,30,14,0,2,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Woods,6/6/2023,EAL,15:50,QL2,33,14,0,2,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Woods,6/6/2023,EAL,15:50,QL2,36,12,0,4,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Woods,6/6/2023,EAL,15:50,QL2,39,14,0,2,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Woods,6/6/2023,EAL,15:50,QL2,42,12,0,4,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Woods,6/6/2023,EAL,15:50,QL2,45,3.5,0,12.5,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Woods,6/6/2023,EAL,15:50,QL2,48,5,0,11,0,0,0,16,,2023,summer,,,,,,,,,,,
Waco,Area 111,6/5/2023,EAL,16:34,QL1,0,11,0,5,0,0,0,16,,2023,summer,,,,,,,,,,,
Waco,Area 111,6/5/2023,EAL,16:34,QL1,3,13,0,3,0,0,1.5,16,,2023,summer,,,,,,,,,,,
Waco,Area 111,6/5/2023,EAL,16:34,QL1,6,11.5,0,4.5,0,0,0,16,,2023,summer,,,,,,,,,,,
Waco,Area 111,6/5/2023,EAL,16:34,QL1,9,10,0,6,0,0,0,16,,2023,summer,,,,,,,,,,,
Waco,Area 111,6/5/2023,EAL,16:34,QL1,12,12,0,4,0,0,0,16,,2023,summer,,,,,,,,,,,
Waco,Area 111,6/5/2023,EAL,16:34,QL1,15,13,0,3,0,0,0,16,,2023,summer,,,,,,,,,,,
Waco,Area 111,6/5/2023,EAL,16:34,QL1,18,5,0,11,0,0,0,16,,2023,summer,,,,,,,,,,,
Waco,Area 111,6/5/2023,EAL,16:34,QL1,21,5.5,0,10.5,0,0,0,16,,2023,summer,,,,,,,,,,,
Waco,Area 111,6/5/2023,EAL,16:34,QL1,24,4,0,12,0,0,0,16,1 litter = ant hill,2023,summer,,,,,,,,,,,
Waco,Area 111,6/5/2023,EAL,16:34,QL1,27,5,0,11,0,0,0,16,,2023,summer,,,,,,,,,,,
Waco,Area 111,6/5/2023,EAL,16:34,QL1,30,13,0,3,0,0,0,16,,2023,summer,,,,,,,,,,,
Waco,Area 111,6/5/2023,EAL,16:34,QL1,33,6.5,0,9.5,0,0,0,16,,2023,summer,,,,,,,,,,,
Waco,Area 111,6/5/2023,EAL,16:34,QL1,36,3.5,0,12.5,0,0,0,16,,2023,summer,,,,,,,,,,,
Waco,Area 111,6/5/2023,EAL,16:34,QL1,39,2,0,14,0,0,0,16,,2023,summer,,,,,,,,,,,
Waco,Area 111,6/5/2023,EAL,16:34,QL1,42,5.5,0,10.5,0,0,0,16,,2023,summer,,,,,,,,,,,
Waco,Area 111,6/5/2023,EAL,16:34,QL1,45,5,0,11,0,0,0,16,,2023,summer,,,,,,,,,,,
Waco,Area 111,6/5/2023,EAL,16:34,QL1,48,10,0,6,0,0,0,16,,2023,summer,,,,,,,,,,,
Waco,Area 111,6/5/2023,EAL,17:27,CENTER,0,11,0,5,0,0,0,16,,2023,summer,,,,,,,,,,,
Waco,Area 111,6/5/2023,EAL,17:27,CENTER,3,10.5,0,5.5,0,0,0,16,,2023,summer,,,,,,,,,,,
Waco,Area 111,6/5/2023,EAL,17:27,CENTER,6,10,0,6,0,0,0,16,,2023,summer,,,,,,,,,,,
Waco,Area 111,6/5/2023,EAL,17:27,CENTER,9,5,0,11,0,0,0,16,,2023,summer,,,,,,,,,,,
Waco,Area 111,6/5/2023,EAL,17:27,CENTER,12,4,0,12,0,0,0,16,,2023,summer,,,,,,,,,,,
Waco,Area 111,6/5/2023,EAL,17:27,CENTER,15,9,0,7,0,0,0,16,,2023,summer,,,,,,,,,,,
Waco,Area 111,6/5/2023,EAL,17:27,CENTER,18,4.5,0,11.5,0,0,0,16,,2023,summer,,,,,,,,,,,
Waco,Area 111,6/5/2023,EAL,17:27,CENTER,21,4,0,12,0,0,0,16,,2023,summer,,,,,,,,,,,
Waco,Area 111,6/5/2023,EAL,17:27,CENTER,24,3,0,13,0,0,0,16,,2023,summer,,,,,,,,,,,
Waco,Area 111,6/5/2023,EAL,17:27,CENTER,27,11.5,0,4.5,0,0,0,16,,2023,summer,,,,,,,,,,,
Waco,Area 111,6/5/2023,EAL,17:27,CENTER,30,12,0,4,0,0,0,16,,2023,summer,,,,,,,,,,,
Waco,Area 111,6/5/2023,EAL,17:27,CENTER,33,13.5,0,2.5,0,0,0,16,,2023,summer,,,,,,,,,,,
Waco,Area 111,6/5/2023,EAL,17:27,CENTER,36,5.5,0,10.5,0,0,0,16,,2023,summer,,,,,,,,,,,
Waco,Area 111,6/5/2023,EAL,17:27,CENTER,39,4,0,12,0,0,0,16,,2023,summer,,,,,,,,,,,
Waco,Area 111,6/5/2023,EAL,17:27,CENTER,42,13,0,3,0,0,0,16,,2023,summer,,,,,,,,,,,
Waco,Area 111,6/5/2023,EAL,17:27,CENTER,45,14,0,2,0,0,0,16,,2023,summer,,,,,,,,,,,
Waco,Area 111,6/5/2023,EAL,17:27,CENTER,48,15.5,0,0.5,0,0,0,16,,2023,summer,,,,,,,,,,,
Waco,Area 111,6/5/2023,EAL,18:00,QL2,0,3.5,0,12.5,0,0,0,16,,2023,summer,,,,,,,,,,,
Waco,Area 111,6/5/2023,EAL,18:00,QL2,3,4,0,12,0,0,0,16,,2023,summer,,,,,,,,,,,
Waco,Area 111,6/5/2023,EAL,18:00,QL2,6,13,0,3,0,0,0,16,,2023,summer,,,,,,,,,,,
Waco,Area 111,6/5/2023,EAL,18:00,QL2,9,13,0,3,0,0,0,16,1 litter = ant hill,2023,summer,,,,,,,,,,,
Waco,Area 111,6/5/2023,EAL,18:00,QL2,12,5.5,0,10.5,0,0,0,16,,2023,summer,,,,,,,,,,,
Waco,Area 111,6/5/2023,EAL,18:00,QL2,15,12,0,4,0,0,0,16,,2023,summer,,,,,,,,,,,
Waco,Area 111,6/5/2023,EAL,18:00,QL2,18,13,0,3,0,0,0,16,,2023,summer,,,,,,,,,,,
Waco,Area 111,6/5/2023,EAL,18:00,QL2,21,5,0,11,0,0,0,16,,2023,summer,,,,,,,,,,,
Waco,Area 111,6/5/2023,EAL,18:00,QL2,24,6,0,10,0,0,0,16,,2023,summer,,,,,,,,,,,
Waco,Area 111,6/5/2023,EAL,18:00,QL2,27,4.5,0,11.5,0,0,0,16,,2023,summer,,,,,,,,,,,
Waco,Area 111,6/5/2023,EAL,18:00,QL2,30,11,0,5,0,0,0,16,,2023,summer,,,,,,,,,,,
Waco,Area 111,6/5/2023,EAL,18:00,QL2,33,14,0,2,0,0,0,16,,2023,summer,,,,,,,,,,,
Waco,Area 111,6/5/2023,EAL,18:00,QL2,36,13,0,3,0,0,0,16,,2023,summer,,,,,,,,,,,
Waco,Area 111,6/5/2023,EAL,18:00,QL2,39,11,0,5,0,0,0,16,,2023,summer,,,,,,,,,,,
Waco,Area 111,6/5/2023,EAL,18:00,QL2,42,12,0,4,0,0,0,16,,2023,summer,,,,,,,,,,,
Waco,Area 111,6/5/2023,EAL,18:00,QL2,45,12,0,4,0,0,0,16,,2023,summer,,,,,,,,,,,
Waco,Area 111,6/5/2023,EAL,18:00,QL2,48,13,0,3,0,0,0,16,,2023,summer,,,,,,,,,,,
Waco,Area 112,6/2/2023,LR,14:01,QL1,0,12,0,4,0,0,0,16,,2023,summer,,,,,,,,,,,
Waco,Area 112,6/2/2023,LR,14:09,QL1,3,13,0,3,0,0,0,16,,2023,summer,,,,,,,,,,,
Waco,Area 112,6/2/2023,LR,14:11,QL1,6,5,0,10.5,0.5,0,0,16,,2023,summer,,,,,,,,,,,
Waco,Area 112,6/2/2023,LR,14:18,QL1,9,7,0,8,1,0,0,16,,2023,summer,,,,,,,,,,,
Waco,Area 112,6/2/2023,LR,14:22,QL1,12,12,0,4,0,0,0,16,,2023,summer,,,,,,,,,,,
Waco,Area 112,6/2/2023,LR,14:24,QL1,15,12.5,1,2.5,0,0,0,16,,2023,summer,,,,,,,,,,,
Waco,Area 112,6/2/2023,LR,14:25,QL1,18,12,0,4,0,0,0,16,,2023,summer,,,,,,,,,,,
Waco,Area 112,6/2/2023,LR,14:28,QL1,21,12,0,4,0,0,0,16,,2023,summer,,,,,,,,,,,
Waco,Area 112,6/2/2023,LR,14:30,QL1,24,4,0,12,0,0,0,16,,2023,summer,,,,,,,,,,,
Waco,Area 112,6/2/2023,LR,14:32,QL1,27,6,0,10,0,0,0,16,,2023,summer,,,,,,,,,,,
Waco,Area 112,6/2/2023,LR,14:35,QL1,30,10,0,5,1,0,0,16,,2023,summer,,,,,,,,,,,
Waco,Area 112,6/2/2023,LR,14:38,QL1,33,11,0,5,0,0,0,16,,2023,summer,,,,,,,,,,,
Waco,Area 112,6/2/2023,LR,14:40,QL1,36,13,0,3,0,0,0,16,,2023,summer,,,,,,,,,,,
Waco,Area 112,6/2/2023,LR,14:42,QL1,39,6,0,10,0,0,0,16,,2023,summer,,,,,,,,,,,
