site,plot,date,observer,start_time,activity,participants,temp_F,wind_km_h,Clouds_pct,humidity_pct,notes,year,season,
Whitney,Woods,6/6/2023,"EL, LR",10:54,Veg transects,"EL, LR",,,,,,2023,summer,
Whitney,Main,6/7/2023,"EL, LR",9:06,Veg transects,"EL, LR",,,,,,2023,summer,
Whitney,Flood,6/7/2023,"EL, LR",13:34,Veg transects,"EL, LR",,,,,,2023,summer,
High Hope,Corral,6/8/2023,"MC, RK, ER, HA",9:25,Bee bowls down,"MC, RK, ER, HA",26.2,1.1,50.00%,66.60%,,2023,summer,
High Hope,Corral,6/8/2023,"MC, RK, ER, HA",9:55,AM netting,"MC, RK, ER, HA",29,1.2,50.00%,68.80%,,2023,summer,
High Hope,Corral,6/8/2023,"MC, RK, ER, HA",14:55,PM netting,"MC, RK, ER, HA",33.5,0.9,60.00%,55.10%,,2023,summer,
High Hope,Corral,6/8/2023,"MC, RK, ER, HA",15:40,Bee bowls up,"MC, RK, ER, HA",34.9,1.9,45.00%,47.90%,,2023,summer,
High Hope,Valley,6/9/2023,"MC, ER",8:40,Bee bowls down,"MC, ER",24.8,0.9,20.00%,73.80%,Temp probably wrong (~28ºC),2023,summer,
High Hope,Statue,6/9/2023,"MC, RK, ER, HA",9:10,Bee bowls down,"MC, RK, ER, HA",28.3,1.1,15.00%,64.80%,,2023,summer,
High Hope,Statue,6/9/2023,"MC, RK, ER, HA",9:56,AM netting,"MC, RK, ER, HA",28.5,1.3,5.00%,64.00%,,2023,summer,
High Hope,Valley,6/9/2023,"MC, RK, ER, HA",11:05,AM netting,"MC, RK, ER, HA",32.3,0.7,1.00%,60.70%,,2023,summer,
High Hope,Statue,6/9/2023,"MC, RK, ER, HA",14:22,PM netting,"MC, RK, ER, HA",34.4,1.6,45.00%,50.70%,,2023,summer,
High Hope,Statue,6/9/2023,"MC, RK, ER, HA",15:30,Bee bowls up,"MC, RK, ER, HA",34.1,1.1,35.00%,48.90%,,2023,summer,
High Hope,Valley,6/9/2023,"MC, RK, ER, HA",16:15,PM netting,"MC, RK, ER, HA",32.7,0.7,30.00%,51.40%,,2023,summer,
High Hope,Valley,6/9/2023,"MC, RK, ER, HA",17:00,Bee bowls up,"MC, RK, ER, HA",36.3,0.9,35.00%,45.10%,,2023,summer,
High Hope,Valley,6/8/2023,"LR, EAL",10:07,Milkweed transects,"LR, EAL",27.7,1.2,80.00%,67.30%,,2023,summer,
High Hope,Corral,6/9/2023,"LR, EAL",10:01,Milkweed transects,"LR, EAL",30.3,0,0.00%,69.40%,,2023,summer,
High Hope,Statue,6/9/2023,"LR, EAL",14:10,Milkweed transects,"LR, EAL",33.3,0.6,70.00%,56.00%,,2023,summer,
High Hope,Valley,6/8/2023,"LR, EAL",9:30,Veg transects,"LR, EAL",,,,,,2023,summer,
High Hope,Corral,6/9/2023,"LR, EAL",9:19,Veg transects,"LR, EAL",,,,,,2023,summer,
High Hope,Statue,6/9/2023,"LR, EAL",13:43,Veg transects,"LR, EAL",,,,,,2023,summer,
Fawcett,Flush,6/15/2023,"LR, EAL, HA",8:46,Bee bowls down,"LR, EAL, HA",27,0,50.00%,78.00%,,2023,summer,
Fawcett,Hog,6/15/2023,"EAL, HA",9:23,Bee bowls down,"EAL, HA",28.3,1.1,70.00%,79.20%,,2023,summer,
Fawcett,Shed,6/15/2023,LR,9:20,Bee bowls down,LR,29.7,0.7,70.00%,80.70%,,2023,summer,
Fawcett,Shed,6/15/2023,"LR, EAL, HA",9:40,AM netting,"LR, EAL, HA",32.5,0.5,95.00%,70.30%,,2023,summer,
Fawcett,Hog,6/15/2023,"LR, EAL, HA",10:55,AM netting,"LR, EAL, HA",35,0.5,70.00%,64.80%,,2023,summer,
Fawcett,Hog,6/15/2023,"LR, EAL, HA",13:27,PM netting,"LR, EAL, HA",36,0.8,90.00%,60.50%,,2023,summer,
Fawcett,Shed,6/15/2023,"LR, EAL, HA",14:33,PM netting,"LR, EAL, HA",36.3,3.3,80.00%,50.30%,,2023,summer,
Fawcett,Shed,6/15/2023,"LR, EAL, HA",15:25,Bee bowls up,"LR, EAL, HA",36.3,3.3,80.00%,50.30%,,2023,summer,
Fawcett,Hog,6/15/2023,"LR, EAL, HA",15:46,Bee bowls up,"LR, EAL, HA",37.5,1.6,40.00%,58.20%,,2023,summer,
Fawcett,Flush,6/19/2023,,,,,36.4,0.5,40.00%,61.30%,,2023,summer,
Fawcett,Flush,6/19/2023,"LR, EL, MC",10:33,AM netting,"LR, EL, MC",30.8,0.8,10.00%,69.50%,,2023,summer,
Fawcett,Flush,6/19/2023,"LR, EL, MC",14:35,PM netting,"LR, EL, MC",39.8,1.4,5.00%,42.10%,,2023,summer,
Fawcett,Shed,6/13/2023,"LR, EAL, HA",10:28,Milkweed transects,"LR, EAL, HA",25.8,0.4,100.00%,79.60%,,2023,summer,
Fawcett,Flush,6/13/2023,"LR, EAL, HA, MC, ER, RK",15:51,Milkweed transects,"LR, EAL, HA, MC, ER, RK",26.7,0.5,100.00%,80.00%,,2023,summer,
Fawcett,Hog,6/13/2023,"MC, ER, RK",10:33,Milkweed transects,"MC, ER, RK",25.4,0.9,100.00%,75.30%,,2023,summer,
Fawcett,Shed,6/13/2023,"HA, LR, EAL",9:12,Veg transects,"HA, LR, EAL",,,,,,2023,summer,
Fawcett,Flush,6/13/2023,"EAL, HA, LR",15:40,Veg transects,"EAL, HA, LR",,,,,,2023,summer,
Fawcett,Hog,6/13/2023,"ER, RK, MC",10:37,Veg transects,"ER, RK, MC",,,,,,2023,summer,
Crow,Crow Hill,6/11/2023,"LR, ML",8:58,Bee bowls down,"LR, ML",26.6,0.7,10.00%,75.00%,,2023,summer,
Crow,Cactus,6/11/2023,"LR, ML",9:34,Bee bowls down,"LR, ML",28.6,0.8,40.00%,73.80%,,2023,summer,
Crow,Cactus,6/11/2023,"MC, ER, RK, HA",10:40,AM netting,"MC, ER, RK, HA",32.2,0.4,5.00%,62.40%,,2023,summer,
Crow,Cactus,6/11/2023,"MC, ER, RK, HA",13:45,PM netting,"MC, ER, RK, HA",33.1,2.4,10.00%,57.10%,,2023,summer,
Crow,Crow Hill,6/11/2023,"MC, ER, RK, HA",15:25,Bee bowls up,"MC, ER, RK, HA",34.8,0.7,30.00%,53.60%,,2023,summer,
Crow,Cactus,6/11/2023,"MC, ER, RK, HA",16:00,Bee bowls up,"MC, ER, RK, HA",36.1,0.6,30.00%,45.60%,lost 1 pantrap- mouse damage,2023,summer,
Crow,Gas,6/12/2023,"MC, ER, RK, HA",8:45,Bee bowls down,"MC, ER, RK, HA",23.6,1.5,90.00%,79.10%,,2023,summer,
Crow,Crow Hill,6/12/2023,"MC, ER, RK, HA",10:09,AM netting,"MC, ER, RK, HA",26.9,1.4,100.00%,70.30%,"overcast, some pollinators out",2023,summer,
Crow,Gas,6/12/2023,"MC, ER, RK, HA",11:20,Bee bowls up,"MC, ER, RK, HA",22.9,1.9,100.00%,73.00%,"storm, day canceled",2023,summer,
Crow,Gas,6/15/2023,"MC, ER, RK",9:00,Bee bowls down,"MC, ER, RK",27.9,2.1,50.00%,77.30%,,2023,summer,
Crow,Gas,6/15/2023,"MC, ER, RK",9:40,AM netting,"MC, ER, RK",29.1,2.3,60.00%,77.20%,,2023,summer,
Crow,Crow Hill,6/15/2023,"MC, ER, RK",13:15,PM netting,"MC, ER, RK",33.5,2,50.00%,62.70%,,2023,summer,
Crow,Gas,6/15/2023,"MC, ER, RK",14:50,PM netting,"MC, ER, RK",34.5,2.8,70.00%,60.50%,,2023,summer,
Crow,Gas,6/15/2023,"MC, ER, RK",15:30,Bee bowls up,"MC, ER, RK",36.7,2.3,60.00%,52.30%,,2023,summer,
Crow,Crow Hill,6/11/2023,"LR, EAL",11:11,Milkweed transects,"LR, EAL",31.8,0,0.00%,65.30%,did Hill before Gas but copies over milkweed after we did Gas,2023,summer,
Crow,Gas,6/11/2023,"LR, EAL",14:05,Milkweed transects,"LR, EAL",36.3,0.5,20.00%,57.00%,,2023,summer,
Crow,Cactus,6/12/2023,"LR, EAL",9:11,Milkweed transects,"LR, EAL",26.6,0.9,80.00%,72.30%,,2023,summer,
Crow,Crow Hill,6/11/2023,"EAL, LR",10:54,Veg transects,"EAL, LR",,,,,,2023,summer,
Crow,Gas,6/11/2023,"EAL, LR",13:36,Veg transects,"EAL, LR",,,,,,2023,summer,
Crow,Cactus,6/12/2023,"EAL, LR",8:52,Veg transects,"EAL, LR",,,,,,2023,summer,
Wilhelm,Hare,6/20/2023,"HA, ER, RK, MC",9:30,Bee bowls down,"HA, ER, RK, MC",30.3,3.9,15.00%,20.30%,,2023,summer,
Wilhelm,Creek,6/20/2023,"HA, ER, RK, MC",10:00,Bee bowls down,"HA, ER, RK, MC",31.8,2.6,20.00%,66.40%,,2023,summer,
Wilhelm,Creek,6/20/2023,"HA, ER, RK, MC",12:55,AM netting,"HA, ER, RK, MC",33.7,2.2,10.00%,55.20%,,2023,summer,
Wilhelm,Creek,6/20/2023,"HA, ER, RK, MC",14:55,PM netting,"HA, ER, RK, MC",39.8,1.5,30.00%,42.70%,,2023,summer,
Wilhelm,Creek,6/20/2023,"HA, ER, RK, MC",15:45,Bee bowls up,"HA, ER, RK, MC",42,2.7,30.00%,41.00%,,2023,summer,
Wilhelm,Hare,6/20/2023,"HA, ER, RK, MC",16:15,Bee bowls up,"HA, ER, RK, MC",40.2,1.9,30.00%,41.20%,,2023,summer,
Wilhelm,Rider,6/21/2023,"HA, ER, RK, MC",9:30,Bee bowls down,"HA, ER, RK, MC",31.2,2.1,70.00%,73.40%,,2023,summer,
Wilhelm,Hare,6/21/2023,"HA, ER, RK, MC",10:50,AM netting,"HA, ER, RK, MC",34.1,2.7,30.00%,62.70%,,2023,summer,
Wilhelm,Rider,6/21/2023,"HA, ER, RK, MC",11:55,AM netting,"HA, ER, RK, MC",34.4,2.8,20.00%,52.30%,,2023,summer,
Wilhelm,Rider,6/21/2023,"HA, ER, RK, MC",14:55,PM netting,"HA, ER, RK, MC",38.3,3.7,60.00%,49.00%,"gusts, not consistent",2023,summer,
Wilhelm,Rider,6/21/2023,"HA, ER, RK, MC",15:35,Bee bowls up,"HA, ER, RK, MC",35.8,1.3,90.00%,55.50%,,2023,summer,
Wilhelm,Hare,6/21/2023,"HA, ER, RK, MC",16:25,PM netting,"HA, ER, RK, MC",34,3.5,80.00%,62.50%,,2023,summer,
Wilhelm,Rider,6/20/2023,"EAL, LR",10:10,Milkweed transects,"EAL, LR",,,,,,2023,summer,
Wilhelm,Creek,6/21/2023,"EAL, LR",9:44,Milkweed transects,"EAL, LR",32.5,1.5,20.00%,70.50%,,2023,summer,
Wilhelm,Hare,6/21/2023,"EAL, LR",11:55,Milkweed transects,"EAL, LR",36.1,3.4,15.00%,59.60%,,2023,summer,
Wilhelm,Hare,6/21/2023,"EAL, LR",14:51,Milkweed transects,"EAL, LR",36.3,4.5,30.00%,55.70%,,2023,summer,
Wilhelm,Rider,6/20/2023,"EAL, LR",10:10,Veg transects,"EAL, LR",,,,,,2023,summer,
Wilhelm,Creek,6/21/2023,"EAL, LR",9:46,Veg transects,"EAL, LR",,,,,,2023,summer,
Wilhelm,Hare,6/21/2023,"EAL, LR",12:03,Veg transects,"EAL, LR",,,,,,2023,summer,
Wagley,Food,6/16/2023,"MC, ER, HA, RK",9:15,Bee bowls down,"MC, ER, HA, RK",26,1.3,100.00%,76.80%,"overcast, high pollinator activity",2023,summer,
Wagley,Watertrap,6/16/2023,"MC, ER, HA, RK",10:20,Bee bowls down,"MC, ER, HA, RK",29,0.9,100.00%,78.80%,"overcast, high pollinator activity",2023,summer,
Wagley,Food,6/16/2023,"MC, ER, HA, RK",14:07,AM netting,"MC, ER, HA, RK",29.3,0.8,95.00%,75.60%,"overcast, high pollinator activity",2023,summer,
Wagley,Food,6/16/2023,"MC, ER, HA, RK",14:10,PM netting,"MC, ER, HA, RK",31.8,1.2,35.00%,64.50%,,2023,summer,
Wagley,Food,6/16/2023,"MC, ER, HA, RK",16:20,Bee bowls up,"MC, ER, HA, RK",32.4,1.1,30.00%,64.20%,food grazed pretty well,2023,summer,
Wagley,Watertrap,6/16/2023,"MC, ER, HA, RK",14:50,Bee bowls up,"MC, ER, HA, RK",33.4,0.9,25.00%,67.70%,,2023,summer,
Wagley,House,6/17/2023,"RK, MC, HA",9:12,Bee bowls down,"RK, MC, HA",27.5,1.5,80.00%,75.50%,,2023,summer,
Wagley,Watertrap,6/17/2023,"RK, MC, HA",9:55,AM netting,"RK, MC, HA",29.1,0.7,80.00%,68.00%,,2023,summer,
Wagley,House,6/17/2023,"RK, MC, HA",11:30,AM netting,"RK, MC, HA",31.7,2.4,60.00%,69.20%,,2023,summer,
Wagley,Food,6/17/2023,"RK, MC, HA",15:15,Milkweed transects,"RK, MC, HA",34.6,1.6,80.00%,62.60%,,2023,summer,
Wagley,House,6/17/2023,"RK, MC, HA",15:50,PM netting,"RK, MC, HA",35.2,2.4,75.00%,59.60%,,2023,summer,
Wagley,House,6/17/2023,"RK, MC, HA",15:50,Bee bowls up,"RK, MC, HA",35.2,2.4,75.00%,59.60%,,2023,summer,
Wagley,Watertrap,6/17/2023,"RK, MC, HA",17:06,PM netting,"RK, MC, HA",32.7,1.9,80.00%,62.40%,,2023,summer,
Wagley,House,6/16/2023,"EAL, LR",10:13,Milkweed transects,"EAL, LR",28.1,0.8,100.00%,76.90%,,2023,summer,
Wagley,Watertrap,6/16/2023,"EAL, LR",14:56,Milkweed transects,"EAL, LR",33,0.6,30.00%,65.60%,,2023,summer,
Wagley,Food,6/17/2023,"EAL, LR",15:15,Milkweed transects,"EAL, LR",35,1.9,100.00%,60.50%,,2023,summer,
Wagley,House,6/16/2023,"EAL, LR",9:15,Veg transects,"EAL, LR",,,,,,2023,summer,
Wagley,Watertrap,6/16/2023,"EAL, LR",14:17,Veg transects,"EAL, LR",,,,,,2023,summer,
Wagley,Food,6/17/2023,"EAL, ER, LR",11:01,Veg transects,"EAL, ER, LR",,,,,,2023,summer,
Clay,Gate,6/17/2023,LR,8:39,Bee bowls down,LR,26.3,1.3,60.00%,77.00%,,2023,summer,
Clay,Gate,6/17/2023,LR,8:53,AM netting,LR,26.3,1.3,60.00%,77.00%,,2023,summer,
Clay,Dove,6/18/2023,"RK, ER, MC",9:35,Bee bowls down,"RK, ER, MC",30.3,0.9,0.00%,59.50%,,2023,summer,
Clay,Middle,6/18/2023,"RK, ER, MC",10:02,Bee bowls down,"RK, ER, MC",31.5,1.2,0.00%,57.40%,,2023,summer,
Clay,Middle,6/18/2023,"RK, ER, MC",10:15,AM netting,"RK, ER, MC",31.5,1.2,0.00%,57.40%,,2023,summer,
Clay,Dove,6/18/2023,"RK, ER, MC",11:20,AM netting,"RK, ER, MC",33.2,2.3,0.00%,52.30%,,2023,summer,
Clay,Middle,6/18/2023,"RK, ER, MC",14:20,PM netting,"RK, ER, MC",33.2,1.4,0.00%,42.00%,,2023,summer,
Clay,Dove,6/18/2023,"RK, ER, MC",15:25,PM netting,"RK, ER, MC",35.6,2.1,0.00%,41.70%,,2023,summer,
Clay,Dove,6/18/2023,"RK, ER, MC",16:09,Bee bowls up,"RK, ER, MC",36.1,1.2,0.00%,32.80%,,2023,summer,
Clay,Middle,6/18/2023,MC,16:31,Bee bowls up,MC,36.3,1.2,0.00%,33.90%,,2023,summer,
Clay,Middle,6/14/2023,"HA, LR, EAL",10:21,Milkweed transects,"HA, LR, EAL",28.9,0.8,100.00%,83.20%,,2023,summer,
Clay,Gate,6/14/2023,"HA, LR, EAL",13:50,Milkweed transects,"HA, LR, EAL",31.4,1.5,30.00%,71.80%,,2023,summer,
Clay,Dove,6/14/2023,"MC, RK, ER",9:20,Veg transects,"MC, RK, ER",26.5,1.2,100.00%,83.00%,,2023,summer,
Clay,Middle,6/14/2023,"EAL, LR",9:29,Veg transects,"EAL, LR",,,,,,2023,summer,
Clay,Gate,6/14/2023,"EAL, LR",13:25,Veg transects,"EAL, LR",,,,,,2023,summer,
Hagerman,Meadow Pond,6/24/2023,"HA, RK, ER, MC",8:30,AM netting,"HA, RK, ER, MC",25.4,1.5,20.00%,82.30%,,2023,summer,
Hagerman,Bennett Hill,6/24/2023,"HA, RK, ER, MC",10:00,AM netting,"HA, RK, ER, MC",30.2,2,0.00%,67.60%,,2023,summer,
Hagerman,Crow Hill,6/24/2023,"HA, RK, ER, MC",11:30,AM netting,"HA, RK, ER, MC",33.2,1.5,5.00%,55.00%,,2023,summer,
Hagerman,Meadow Pond,6/25/2023,"HA, RK, ER, MC",8:25,Bee bowls down,"HA, RK, ER, MC",29.6,0.6,0.00%,73.10%,,2023,summer,
Hagerman,Bennett Hill,6/25/2023,"HA, RK, ER, MC",8:55,Bee bowls down,"HA, RK, ER, MC",31.3,1.4,0.00%,68.90%,,2023,summer,
Hagerman,Crow Hill,6/25/2023,"HA, RK, ER, MC",9:20,Bee bowls down,"HA, RK, ER, MC",31.2,1.7,10.00%,69.70%,,2023,summer,
Hagerman,Meadow Pond,6/25/2023,"HA, RK, ER, MC",15:50,PM netting,"HA, RK, ER, MC",36.8,0.7,0.00%,56.90%,,2023,summer,
Hagerman,Meadow Pond,6/25/2023,"HA, RK, ER, MC",15:50,Bee bowls up,"HA, RK, ER, MC",36.8,0.7,0.00%,56.90%,,2023,summer,
Hagerman,Bennett Hill,6/25/2023,"HA, RK, ER, MC",17:20,Bee bowls up,"HA, RK, ER, MC",34.6,1.8,10.00%,66.80%,,2023,summer,
Hagerman,Bennett Hill,6/25/2023,"HA, RK, ER, MC",17:20,PM netting,"HA, RK, ER, MC",34.6,1.8,10.00%,66.80%,,2023,summer,
Hagerman,Crow Hill,6/25/2023,"HA, RK, ER, MC",18:20,Bee bowls up,"HA, RK, ER, MC",34.4,1.5,5.00%,62.50%,,2023,summer,
Hagerman,Crow Hill,6/25/2023,"HA, RK, ER, MC",18:20,PM netting,"HA, RK, ER, MC",34.4,1.5,5.00%,62.50%,,2023,summer,
Hagerman,Meadow Pond,6/25/2023,"LR, EAL",8:29,Veg transects,"LR, EAL",28.1,0,10.00%,77.10%,,2023,summer,
Hagerman,Bennett Hill,6/25/2023,"LR, EAL",13:39,Veg transects,"LR, EAL",37.5,0.6,5.00%,57.80%,,2023,summer,
Hagerman,Crow Hill,6/25/2023,"LR, EAL",17:23,Veg transects,"LR, EAL",33.5,1.4,5.00%,61.60%,,2023,summer,
CrossTimbers,East,6/23/2023,"HA, ER, RK, MC",8:50,Bee bowls down,"HA, ER, RK, MC",26.6,0.8,70.00%,75.90%,,2023,summer,
CrossTimbers,East,6/23/2023,"HA, ER, RK, MC",8:50,AM netting,"HA, ER, RK, MC",26.6,0.8,70.00%,75.90%,,2023,summer,
CrossTimbers,Middle,6/23/2023,"HA, ER, RK, MC",9:55,AM netting,"HA, ER, RK, MC",28.8,1.9,60.00%,68.80%,,2023,summer,
CrossTimbers,Highway,6/23/2023,"HA, ER, RK, MC",11:00,AM netting,"HA, ER, RK, MC",30.1,2.5,60.00%,67.70%,,2023,summer,
CrossTimbers,East,6/23/2023,"HA, ER, RK, MC",,Bee bowls up,"HA, ER, RK, MC",,,,,rained out,2023,summer,
CrossTimbers,East,6/24/2023,"HA, ER, RK, MC",14:15,PM netting,"HA, ER, RK, MC",35.1,1.4,0.00%,53.10%,,2023,summer,
CrossTimbers,Middle,6/24/2023,"HA, ER, RK, MC",16:00,PM netting,"HA, ER, RK, MC",36,0.9,0.00%,49.70%,,2023,summer,
CrossTimbers,Highway,6/24/2023,"HA, ER, RK, MC",16:50,PM netting,"HA, ER, RK, MC",37.3,2,0.00%,54.80%,,2023,summer,
CrossTimbers,Middle,6/23/2023,"LR, EAL",8:39,Bee bowls down,"LR, EAL",25.7,1.4,90.00%,85.30%,,2023,summer,
CrossTimbers,Highway,6/23/2023,"LR, EAL",9:22,Bee bowls down,"LR, EAL",26.8,2.4,95.00%,78.80%,,2023,summer,
CrossTimbers,Highway,6/23/2023,"LR, EAL",9:46,Milkweed transects,"LR, EAL",28,1.7,95.00%,70.80%,,2023,summer,
CrossTimbers,East,6/23/2023,"LR, EAL",11:12,Milkweed transects,"LR, EAL",30.1,1.9,30.00%,67.10%,,2023,summer,
CrossTimbers,Highway,6/24/2023,"LR, EAL",8:47,Bee bowls down,"LR, EAL",26.5,1.3,5.00%,83.00%,,2023,summer,
CrossTimbers,Middle,6/24/2023,"LR, EAL",9:03,Bee bowls down,"LR, EAL",26.5,1.3,5.00%,83.00%,,2023,summer,
CrossTimbers,East,6/24/2023,"LR, EAL",9:27,Bee bowls down,"LR, EAL",30.1,0.4,5.00%,78.00%,,2023,summer,
CrossTimbers,East,6/24/2023,"LR, EAL",9:27,Veg transects,"LR, EAL",,,,,,2023,summer,
CrossTimbers,Middle,6/24/2023,"LR, EAL",12:47,Veg transects,"LR, EAL",34.6,3.9,5.00%,64.30%,,2023,summer,
CrossTimbers,Highway,6/24/2023,"LR, EAL",16:28,Bee bowls up,"LR, EAL",36.5,1.5,5.00%,66.30%,"only 20 recovered from highway- others eaten, tipped, or evaporated",2023,summer,
CrossTimbers,Middle,6/24/2023,"LR, EAL",17:03,Bee bowls up,"LR, EAL",36.6,0.8,5.00%,62.40%,,2023,summer,
CrossTimbers,East,6/24/2023,"LR, EAL",17:21,Bee bowls up,"LR, EAL",36.1,0.7,5.00%,59.40%,3 bowls not recovered- damage,2023,summer,
Whitney,Woods,6/14/2022,"ZM, MC",3:22,Veg transects,"ZM, MC",35.4,2.5,30.00%,41.70%,,2022,summer,
Whitney,Woods,6/14/2022,"ZM, MC, EL",16:42,Milkweed transects,"ZM, MC, EL",37.1,4.9,10.00%,42.70%,,2022,summer,
Whitney,Main,6/15/2022,"SRG, ZM, MC",7:50,Bee bowls down,"SRG, ZM, MC",27.6,3,100.00%,69.70%,,2022,summer,
Whitney,Woods,6/15/2022,"SRG, ZM, MC",8:21,Bee bowls down,"SRG, ZM, MC",27.7,0.7,100.00%,76.30%,,2022,summer,
Whitney,Main,6/15/2022,"SRG, ZM, MC",9:39,AM netting,"SRG, ZM, MC",28.9,3.9,95.00%,68.20%,,2022,summer,
Whitney,Woods,6/15/2022,"SRG, ZM, MC",11:07,AM netting,"SRG, ZM, MC",33.4,4.2,70.00%,52.20%,,2022,summer,
Whitney,Main,6/15/2022,"SRG, ZM, MC",14:09,PM netting,"SRG, ZM, MC",35,4.4,60.00%,47.40%,,2022,summer,
Whitney,Woods,6/15/2022,"SRG, ZM, MC",15:10,PM netting,"SRG, ZM, MC",37,2.1,30.00%,42.60%,,2022,summer,
Whitney,Woods,6/15/2022,"SRG, ZM, MC",15:58,Bee bowls up,"SRG, ZM, MC",37.2,3.3,20.00%,41.20%,,2022,summer,
Whitney,Main,6/15/2022,"SRG, ZM, MC",16:20,Bee bowls up,"SRG, ZM, MC",38,3.4,20.00%,47.20%,,2022,summer,
Whitney,Flood,6/16/2022,"ZM, SM, CP, MC",8:10,Bee bowls down,"ZM, SM, CP, MC",28.4,1.4,10.00%,71.80%,,2022,summer,
