"","SWG_ID","site.plot","year","Method","Order","Family","Genus","Species","M.F","full_plant_sp","plot","taxon","insect.type","Genus_species","USDA_name","USDA_code"
"16","SWG18_5226","Stillhouse 50 Acres","2018","netting","Coleoptera","Meloidae","Epicauta","callosa","NA","Ratibida columnifera","50 Acres","Coleoptera_Meloidae_Epicauta_callosa","beetle","Epicauta_callosa","Ratibida columnifera","RACO3"
"17","SWG18_5227","Stillhouse 50 Acres","2018","netting","Coleoptera","Meloidae","Epicauta","callosa","NA","Ratibida columnifera","50 Acres","Coleoptera_Meloidae_Epicauta_callosa","beetle","Epicauta_callosa","Ratibida columnifera","RACO3"
"18","SWG18_5228","Stillhouse 50 Acres","2018","netting","Hymenoptera","Megachilidae","Megachile","policaris","F","Ratibida columnifera","50 Acres","Hymenoptera_Megachilidae_Megachile_policaris","bee","Megachile_policaris","Ratibida columnifera","RACO3"
"19","SWG18_5229","Stillhouse 50 Acres","2018","netting","Hymenoptera","Megachilidae","Megachile","policaris","F","Ratibida columnifera","50 Acres","Hymenoptera_Megachilidae_Megachile_policaris","bee","Megachile_policaris","Ratibida columnifera","RACO3"
"20","SWG18_5230","Stillhouse 50 Acres","2018","netting","Hymenoptera","Megachilidae","Megachile","policaris","F","Ratibida columnifera","50 Acres","Hymenoptera_Megachilidae_Megachile_policaris","bee","Megachile_policaris","Ratibida columnifera","RACO3"
"21","SWG18_5231","Stillhouse 50 Acres","2018","netting","Hymenoptera","Megachilidae","Megachile","policaris","F","Ratibida columnifera","50 Acres","Hymenoptera_Megachilidae_Megachile_policaris","bee","Megachile_policaris","Ratibida columnifera","RACO3"
"22","SWG18_5232","Stillhouse 50 Acres","2018","netting","Hymenoptera","Apidae","Svastra","petulca","F","Ratibida columnifera","50 Acres","Hymenoptera_Apidae_Svastra_petulca","bee","Svastra_petulca","Ratibida columnifera","RACO3"
"23","SWG18_5233","Stillhouse 50 Acres","2018","netting","Hymenoptera","Apidae","Diadasia","rinconis","M","Cirsium spp.","50 Acres","Hymenoptera_Apidae_Diadasia_rinconis","bee","Diadasia_rinconis","Cirsium spp.","CIRSI"
"24","SWG18_5234","Stillhouse 50 Acres","2018","netting","Hymenoptera","Apidae","Diadasia","enavata","M","Cirsium spp.","50 Acres","Hymenoptera_Apidae_Diadasia_enavata","bee","Diadasia_enavata","Cirsium spp.","CIRSI"
"25","SWG18_5235","Stillhouse 50 Acres","2018","netting","Hymenoptera","Apidae","Diadasia","rinconis","M","Cirsium spp.","50 Acres","Hymenoptera_Apidae_Diadasia_rinconis","bee","Diadasia_rinconis","Cirsium spp.","CIRSI"
"26","SWG18_5236","Stillhouse 50 Acres","2018","netting","Diptera","Bombyliidae","Poecilanthrax","lucifer","NA","Phyla nodiflora","50 Acres","Diptera_Bombyliidae_Poecilanthrax_lucifer","fly","Poecilanthrax_lucifer","Phyla nodiflora","PHNO2"
"27","SWG18_5237","Stillhouse 50 Acres","2018","netting","Diptera","Bombyliidae","Exoprosopa","chihuahua?","NA","Phyla nodiflora","50 Acres","Diptera_Bombyliidae_Exoprosopa_chihuahua?","fly","Exoprosopa_chihuahua?","Phyla nodiflora","PHNO2"
"28","SWG18_5238","Stillhouse 50 Acres","2018","netting","Diptera","Syrphidae","Toxomerus","marginatus","NA","Phyla nodiflora","50 Acres","Diptera_Syrphidae_Toxomerus_marginatus","fly","Toxomerus_marginatus","Phyla nodiflora","PHNO2"
"29","SWG18_5239","Stillhouse 50 Acres","2018","netting","Diptera","Syrphidae","Copestylum","marginatum group","NA","Phyla nodiflora","50 Acres","Diptera_Syrphidae_Copestylum_marginatum group","fly","Copestylum_marginatum group","Phyla nodiflora","PHNO2"
"30","SWG18_5240","Stillhouse 50 Acres","2018","netting","Diptera","Syrphidae","Copestylum","marginatum group","NA","Ratibida columnifera","50 Acres","Diptera_Syrphidae_Copestylum_marginatum group","fly","Copestylum_marginatum group","Ratibida columnifera","RACO3"
"31","SWG18_5241","Stillhouse 50 Acres","2018","netting","Diptera","Bombyliidae","Geron","spp.","NA","Phyla nodiflora","50 Acres","Diptera_Bombyliidae_Geron_spp.","fly","Geron_spp.","Phyla nodiflora","PHNO2"
"32","SWG18_5242","Stillhouse 50 Acres","2018","netting","Diptera","Syrphidae","Copestylum","marginatum group","NA","Ratibida columnifera","50 Acres","Diptera_Syrphidae_Copestylum_marginatum group","fly","Copestylum_marginatum group","Ratibida columnifera","RACO3"
"33","SWG18_5243","Stillhouse 50 Acres","2018","netting","Diptera","Syrphidae","Copestylum","marginatum group","NA","Ratibida columnifera","50 Acres","Diptera_Syrphidae_Copestylum_marginatum group","fly","Copestylum_marginatum group","Ratibida columnifera","RACO3"
"34","SWG18_5244","Stillhouse 50 Acres","2018","netting","Diptera","Bombyliidae","Geron","spp.","NA","Ratibida columnifera","50 Acres","Diptera_Bombyliidae_Geron_spp.","fly","Geron_spp.","Ratibida columnifera","RACO3"
"35","SWG18_5245","Stillhouse 50 Acres","2018","netting","Diptera","Syrphidae","Copestylum","marginatum group","NA","Ratibida columnifera","50 Acres","Diptera_Syrphidae_Copestylum_marginatum group","fly","Copestylum_marginatum group","Ratibida columnifera","RACO3"
"36","SWG18_5246","Stillhouse 50 Acres","2018","netting","Diptera","Bombyliidae","Geron","spp.","NA","Ratibida columnifera","50 Acres","Diptera_Bombyliidae_Geron_spp.","fly","Geron_spp.","Ratibida columnifera","RACO3"
"37","SWG18_5247","Stillhouse 50 Acres","2018","netting","Diptera","Bombyliidae","Geron","spp.","NA","Ratibida columnifera","50 Acres","Diptera_Bombyliidae_Geron_spp.","fly","Geron_spp.","Ratibida columnifera","RACO3"
"38","SWG18_5253","Stillhouse 50 Acres","2018","netting","Hymenoptera","Apidae","Apis","mellifera","F","Phyla nodiflora","50 Acres","Hymenoptera_Apidae_Apis_mellifera","bee","Apis_mellifera","Phyla nodiflora","PHNO2"
"39","SWG18_5254","Stillhouse 50 Acres","2018","netting","Hymenoptera","Megachilidae","Megachile","policaris","F","Ratibida columnifera","50 Acres","Hymenoptera_Megachilidae_Megachile_policaris","bee","Megachile_policaris","Ratibida columnifera","RACO3"
"40","SWG18_5255","Stillhouse 50 Acres","2018","netting","Hymenoptera","Megachilidae","Megachile","policaris","F","Ratibida columnifera","50 Acres","Hymenoptera_Megachilidae_Megachile_policaris","bee","Megachile_policaris","Ratibida columnifera","RACO3"
"41","SWG18_5256","Stillhouse 50 Acres","2018","netting","Hymenoptera","Apidae","Melissodes","coreopsis","M","Ratibida columnifera","50 Acres","Hymenoptera_Apidae_Melissodes_coreopsis","bee","Melissodes_coreopsis","Ratibida columnifera","RACO3"
"42","SWG18_5257","Stillhouse 50 Acres","2018","netting","Hymenoptera","Crabronidae","Tachytes","sp. 3","M","Ratibida columnifera","50 Acres","Hymenoptera_Crabronidae_Tachytes_sp. 3","wasp","Tachytes_sp. 3","Ratibida columnifera","RACO3"
"43","SWG18_5258","Stillhouse 50 Acres","2018","netting","Hymenoptera","Crabronidae","Tachytes","sp. 3","M","Ratibida columnifera","50 Acres","Hymenoptera_Crabronidae_Tachytes_sp. 3","wasp","Tachytes_sp. 3","Ratibida columnifera","RACO3"
"44","SWG18_5259","Stillhouse 50 Acres","2018","netting","Hymenoptera","Halictidae","Halictus","ligatus","M","Ratibida columnifera","50 Acres","Hymenoptera_Halictidae_Halictus_ligatus","bee","Halictus_ligatus","Ratibida columnifera","RACO3"
"45","SWG18_5260","Stillhouse 50 Acres","2018","netting","Hymenoptera","Halictidae","Halictus","ligatus","M","Ratibida columnifera","50 Acres","Hymenoptera_Halictidae_Halictus_ligatus","bee","Halictus_ligatus","Ratibida columnifera","RACO3"
"46","SWG18_5261","Stillhouse 50 Acres","2018","netting","Diptera","Bombyliidae","Chrysanthrax","edititius","NA","Ratibida columnifera","50 Acres","Diptera_Bombyliidae_Chrysanthrax_edititius","fly","Chrysanthrax_edititius","Ratibida columnifera","RACO3"
"47","SWG18_5263","Stillhouse 50 Acres","2018","netting","Coleoptera","Dermestidae","Cryptorhopalum","group triste","NA","Ratibida columnifera","50 Acres","Coleoptera_Dermestidae_Cryptorhopalum_group triste","beetle","Cryptorhopalum_group triste","Ratibida columnifera","RACO3"
"48","SWG18_5264","Stillhouse 50 Acres","2018","netting","Coleoptera","Meloidae","Zonitis","perforata","NA","Ratibida columnifera","50 Acres","Coleoptera_Meloidae_Zonitis_perforata","beetle","Zonitis_perforata","Ratibida columnifera","RACO3"
"49","SWG18_5265","Stillhouse 50 Acres","2018","netting","Coleoptera","Meloidae","Epicauta","callosa","NA","Ratibida columnifera","50 Acres","Coleoptera_Meloidae_Epicauta_callosa","beetle","Epicauta_callosa","Ratibida columnifera","RACO3"
"50","SWG18_5266","Stillhouse 50 Acres","2018","netting","Coleoptera","Meloidae","Epicauta","callosa","NA","Ratibida columnifera","50 Acres","Coleoptera_Meloidae_Epicauta_callosa","beetle","Epicauta_callosa","Ratibida columnifera","RACO3"
"51","SWG18_5267","Stillhouse 50 Acres","2018","netting","Coleoptera","Meloidae","Epicauta","callosa","NA","Ratibida columnifera","50 Acres","Coleoptera_Meloidae_Epicauta_callosa","beetle","Epicauta_callosa","Ratibida columnifera","RACO3"
"52","SWG18_5268","Stillhouse 50 Acres","2018","netting","Coleoptera","Meloidae","Epicauta","callosa","NA","Ratibida columnifera","50 Acres","Coleoptera_Meloidae_Epicauta_callosa","beetle","Epicauta_callosa","Ratibida columnifera","RACO3"
"53","SWG18_5269","Stillhouse 50 Acres","2018","netting","Coleoptera","Meloidae","Epicauta","callosa","NA","Ratibida columnifera","50 Acres","Coleoptera_Meloidae_Epicauta_callosa","beetle","Epicauta_callosa","Ratibida columnifera","RACO3"
"54","SWG18_5270","Stillhouse 50 Acres","2018","netting","Coleoptera","Meloidae","Epicauta","callosa","NA","Ratibida columnifera","50 Acres","Coleoptera_Meloidae_Epicauta_callosa","beetle","Epicauta_callosa","Ratibida columnifera","RACO3"
"55","SWG18_5271","Stillhouse 50 Acres","2018","netting","Coleoptera","Meloidae","Epicauta","callosa","NA","Ratibida columnifera","50 Acres","Coleoptera_Meloidae_Epicauta_callosa","beetle","Epicauta_callosa","Ratibida columnifera","RACO3"
"56","SWG18_5272","Stillhouse 50 Acres","2018","netting","Coleoptera","Meloidae","Epicauta","callosa","NA","Ratibida columnifera","50 Acres","Coleoptera_Meloidae_Epicauta_callosa","beetle","Epicauta_callosa","Ratibida columnifera","RACO3"
"57","SWG18_5273","Stillhouse 50 Acres","2018","netting","Coleoptera","Meloidae","Epicauta","callosa","NA","Ratibida columnifera","50 Acres","Coleoptera_Meloidae_Epicauta_callosa","beetle","Epicauta_callosa","Ratibida columnifera","RACO3"
"58","SWG18_5274","Stillhouse 50 Acres","2018","netting","Coleoptera","Meloidae","Epicauta","callosa","NA","Ratibida columnifera","50 Acres","Coleoptera_Meloidae_Epicauta_callosa","beetle","Epicauta_callosa","Ratibida columnifera","RACO3"
"59","SWG18_5275","Stillhouse 50 Acres","2018","netting","Coleoptera","Meloidae","Epicauta","callosa","NA","Ratibida columnifera","50 Acres","Coleoptera_Meloidae_Epicauta_callosa","beetle","Epicauta_callosa","Ratibida columnifera","RACO3"
"60","SWG18_5276","Stillhouse 50 Acres","2018","netting","Coleoptera","Meloidae","Epicauta","callosa","NA","Ratibida columnifera","50 Acres","Coleoptera_Meloidae_Epicauta_callosa","beetle","Epicauta_callosa","Ratibida columnifera","RACO3"
"61","SWG18_5277","Stillhouse 50 Acres","2018","netting","Coleoptera","Meloidae","Epicauta","callosa","NA","Ratibida columnifera","50 Acres","Coleoptera_Meloidae_Epicauta_callosa","beetle","Epicauta_callosa","Ratibida columnifera","RACO3"
"62","SWG18_5280","Stillhouse 50 Acres","2018","netting","Lepidoptera","Lycaenidae","Strymon","melinus","NA","Ratibida columnifera","50 Acres","Lepidoptera_Lycaenidae_Strymon_melinus","lep","Strymon_melinus","Ratibida columnifera","RACO3"
"63","SWG18_5286","Stillhouse 50 Acres","2018","Pan Trap","Diptera","Asilidae","Ospriocerus","vallensis","NA",NA,"50 Acres","Diptera_Asilidae_Ospriocerus_vallensis","fly","Ospriocerus_vallensis","new croton Oka Highway fall 17","OkaCroton"
"64","SWG18_5287","Stillhouse 50 Acres","2018","Pan Trap","Diptera","Sarcophagidae","Ravinia","spp.","M",NA,"50 Acres","Diptera_Sarcophagidae_Ravinia_spp.","fly","Ravinia_spp.","new croton Oka Highway fall 17","OkaCroton"
"65","SWG18_5288","Stillhouse 50 Acres","2018","Pan Trap","Diptera","Sarcophagidae","Ravinia","spp.","F",NA,"50 Acres","Diptera_Sarcophagidae_Ravinia_spp.","fly","Ravinia_spp.","new croton Oka Highway fall 17","OkaCroton"
"66","SWG18_5289","Stillhouse 50 Acres","2018","Pan Trap","Diptera","Sarcophagidae","Ravinia","spp.","M",NA,"50 Acres","Diptera_Sarcophagidae_Ravinia_spp.","fly","Ravinia_spp.","new croton Oka Highway fall 17","OkaCroton"
"67","SWG18_5290","Stillhouse 50 Acres","2018","Pan Trap","Diptera","Sarcophagidae","Ravinia","spp.","M",NA,"50 Acres","Diptera_Sarcophagidae_Ravinia_spp.","fly","Ravinia_spp.","new croton Oka Highway fall 17","OkaCroton"
"68","SWG18_5291","Stillhouse 50 Acres","2018","Pan Trap","Diptera","Sarcophagidae","Ravinia","spp.","M",NA,"50 Acres","Diptera_Sarcophagidae_Ravinia_spp.","fly","Ravinia_spp.","new croton Oka Highway fall 17","OkaCroton"
"69","SWG18_5292","Stillhouse 50 Acres","2018","Pan Trap","Diptera","Sarcophagidae","Ravinia","spp.","M",NA,"50 Acres","Diptera_Sarcophagidae_Ravinia_spp.","fly","Ravinia_spp.","new croton Oka Highway fall 17","OkaCroton"
"70","SWG18_5293","Stillhouse 50 Acres","2018","Pan Trap","Coleoptera","Meloidae","Epicauta","sericans","NA",NA,"50 Acres","Coleoptera_Meloidae_Epicauta_sericans","beetle","Epicauta_sericans","new croton Oka Highway fall 17","OkaCroton"
"71","SWG18_5294","Stillhouse 50 Acres","2018","Pan Trap","Coleoptera","Meloidae","Epicauta","callosa","NA",NA,"50 Acres","Coleoptera_Meloidae_Epicauta_callosa","beetle","Epicauta_callosa","new croton Oka Highway fall 17","OkaCroton"
"72","SWG18_5295","Stillhouse 50 Acres","2018","Pan Trap","Coleoptera","Meloidae","Epicauta","callosa","NA",NA,"50 Acres","Coleoptera_Meloidae_Epicauta_callosa","beetle","Epicauta_callosa","new croton Oka Highway fall 17","OkaCroton"
"73","SWG18_5296","Stillhouse 50 Acres","2018","Pan Trap","Coleoptera","Meloidae","Epicauta","callosa","NA",NA,"50 Acres","Coleoptera_Meloidae_Epicauta_callosa","beetle","Epicauta_callosa","new croton Oka Highway fall 17","OkaCroton"
"74","SWG18_5297","Stillhouse 50 Acres","2018","Pan Trap","Coleoptera","Meloidae","Epicauta","callosa","NA",NA,"50 Acres","Coleoptera_Meloidae_Epicauta_callosa","beetle","Epicauta_callosa","new croton Oka Highway fall 17","OkaCroton"
"75","SWG18_5298","Stillhouse 50 Acres","2018","Pan Trap","Coleoptera","Meloidae","Epicauta","callosa","NA",NA,"50 Acres","Coleoptera_Meloidae_Epicauta_callosa","beetle","Epicauta_callosa","new croton Oka Highway fall 17","OkaCroton"
"76","SWG18_5299","Stillhouse 50 Acres","2018","Pan Trap","Coleoptera","Meloidae","Epicauta","callosa","NA",NA,"50 Acres","Coleoptera_Meloidae_Epicauta_callosa","beetle","Epicauta_callosa","new croton Oka Highway fall 17","OkaCroton"
"77","SWG18_5300","Stillhouse 50 Acres","2018","Pan Trap","Coleoptera","Meloidae","Epicauta","callosa","NA",NA,"50 Acres","Coleoptera_Meloidae_Epicauta_callosa","beetle","Epicauta_callosa","new croton Oka Highway fall 17","OkaCroton"
"78","SWG18_5301","Stillhouse 50 Acres","2018","Pan Trap","Coleoptera","Meloidae","Epicauta","callosa","NA",NA,"50 Acres","Coleoptera_Meloidae_Epicauta_callosa","beetle","Epicauta_callosa","new croton Oka Highway fall 17","OkaCroton"
"79","SWG18_5302","Stillhouse 50 Acres","2018","Pan Trap","Coleoptera","Meloidae","Epicauta","callosa","NA",NA,"50 Acres","Coleoptera_Meloidae_Epicauta_callosa","beetle","Epicauta_callosa","new croton Oka Highway fall 17","OkaCroton"
"80","SWG18_5303","Stillhouse 50 Acres","2018","Pan Trap","Coleoptera","Meloidae","Epicauta","callosa","NA",NA,"50 Acres","Coleoptera_Meloidae_Epicauta_callosa","beetle","Epicauta_callosa","new croton Oka Highway fall 17","OkaCroton"
"81","SWG18_5304","Stillhouse 50 Acres","2018","Pan Trap","Coleoptera","Meloidae","Epicauta","sericans","NA",NA,"50 Acres","Coleoptera_Meloidae_Epicauta_sericans","beetle","Epicauta_sericans","new croton Oka Highway fall 17","OkaCroton"
"82","SWG18_5305","Stillhouse 50 Acres","2018","Pan Trap","Coleoptera","Meloidae","Epicauta","callosa","NA",NA,"50 Acres","Coleoptera_Meloidae_Epicauta_callosa","beetle","Epicauta_callosa","new croton Oka Highway fall 17","OkaCroton"
"83","SWG18_5306","Stillhouse 50 Acres","2018","Pan Trap","Coleoptera","Meloidae","Epicauta","callosa","NA",NA,"50 Acres","Coleoptera_Meloidae_Epicauta_callosa","beetle","Epicauta_callosa","new croton Oka Highway fall 17","OkaCroton"
"84","SWG18_5307","Stillhouse 50 Acres","2018","Pan Trap","Coleoptera","Meloidae","Epicauta","callosa","NA",NA,"50 Acres","Coleoptera_Meloidae_Epicauta_callosa","beetle","Epicauta_callosa","new croton Oka Highway fall 17","OkaCroton"
"85","SWG18_5308","Stillhouse 50 Acres","2018","Pan Trap","Coleoptera","Meloidae","Epicauta","callosa","NA",NA,"50 Acres","Coleoptera_Meloidae_Epicauta_callosa","beetle","Epicauta_callosa","new croton Oka Highway fall 17","OkaCroton"
"86","SWG18_5309","Stillhouse 50 Acres","2018","Pan Trap","Coleoptera","Buprestidae","Acmaeodera","ornatoides","NA",NA,"50 Acres","Coleoptera_Buprestidae_Acmaeodera_ornatoides","beetle","Acmaeodera_ornatoides","new croton Oka Highway fall 17","OkaCroton"
"87","SWG18_5310","Stillhouse 50 Acres","2018","Pan Trap","Coleoptera","Buprestidae","Acmaeodera","ornatoides","NA",NA,"50 Acres","Coleoptera_Buprestidae_Acmaeodera_ornatoides","beetle","Acmaeodera_ornatoides","new croton Oka Highway fall 17","OkaCroton"
"88","SWG18_5311","Stillhouse 50 Acres","2018","Pan Trap","Coleoptera","Mordellidae","Mordella","sp. 1","NA",NA,"50 Acres","Coleoptera_Mordellidae_Mordella_sp. 1","beetle","Mordella_sp. 1","new croton Oka Highway fall 17","OkaCroton"
"89","SWG18_5312","Stillhouse 50 Acres","2018","Pan Trap","Coleoptera","Mordellidae","Mordella","sp. 1","NA",NA,"50 Acres","Coleoptera_Mordellidae_Mordella_sp. 1","beetle","Mordella_sp. 1","new croton Oka Highway fall 17","OkaCroton"
"90","SWG18_5313","Stillhouse 50 Acres","2018","Pan Trap","Coleoptera","Mordellidae","Mordella","sp. 1","NA",NA,"50 Acres","Coleoptera_Mordellidae_Mordella_sp. 1","beetle","Mordella_sp. 1","new croton Oka Highway fall 17","OkaCroton"
"91","SWG18_5314","Stillhouse 50 Acres","2018","Pan Trap","Coleoptera","Mordellidae","Mordella","sp. 1","NA",NA,"50 Acres","Coleoptera_Mordellidae_Mordella_sp. 1","beetle","Mordella_sp. 1","new croton Oka Highway fall 17","OkaCroton"
"92","SWG18_5315","Stillhouse 50 Acres","2018","Pan Trap","Coleoptera","Mordellidae","Mordella","sp. 1","NA",NA,"50 Acres","Coleoptera_Mordellidae_Mordella_sp. 1","beetle","Mordella_sp. 1","new croton Oka Highway fall 17","OkaCroton"
"93","SWG18_5316","Stillhouse 50 Acres","2018","Pan Trap","Coleoptera","Mordellidae","Mordella","sp. 1","NA",NA,"50 Acres","Coleoptera_Mordellidae_Mordella_sp. 1","beetle","Mordella_sp. 1","new croton Oka Highway fall 17","OkaCroton"
"94","SWG18_5317","Stillhouse 50 Acres","2018","Pan Trap","Coleoptera","Mordellidae","Mordella","sp. 1","NA",NA,"50 Acres","Coleoptera_Mordellidae_Mordella_sp. 1","beetle","Mordella_sp. 1","new croton Oka Highway fall 17","OkaCroton"
"95","SWG18_5318","Stillhouse 50 Acres","2018","Pan Trap","Coleoptera","Mordellidae","Mordella","sp. 1","NA",NA,"50 Acres","Coleoptera_Mordellidae_Mordella_sp. 1","beetle","Mordella_sp. 1","new croton Oka Highway fall 17","OkaCroton"
"96","SWG18_5319","Stillhouse 50 Acres","2018","Pan Trap","Coleoptera","Mordellidae","Mordella","sp. 1","NA",NA,"50 Acres","Coleoptera_Mordellidae_Mordella_sp. 1","beetle","Mordella_sp. 1","new croton Oka Highway fall 17","OkaCroton"
"97","SWG18_5320","Stillhouse 50 Acres","2018","Pan Trap","Coleoptera","Mordellidae","Mordella","sp. 1","NA",NA,"50 Acres","Coleoptera_Mordellidae_Mordella_sp. 1","beetle","Mordella_sp. 1","new croton Oka Highway fall 17","OkaCroton"
"98","SWG18_5321","Stillhouse 50 Acres","2018","Pan Trap","Coleoptera","Mordellidae","Mordella","sp. 1","NA",NA,"50 Acres","Coleoptera_Mordellidae_Mordella_sp. 1","beetle","Mordella_sp. 1","new croton Oka Highway fall 17","OkaCroton"
"99","SWG18_5322","Stillhouse 50 Acres","2018","Pan Trap","Coleoptera","Mordellidae","Mordella","sp. 1","NA",NA,"50 Acres","Coleoptera_Mordellidae_Mordella_sp. 1","beetle","Mordella_sp. 1","new croton Oka Highway fall 17","OkaCroton"
"100","SWG18_5323","Stillhouse 50 Acres","2018","Pan Trap","Coleoptera","Mordellidae","Mordella","sp. 1","NA",NA,"50 Acres","Coleoptera_Mordellidae_Mordella_sp. 1","beetle","Mordella_sp. 1","new croton Oka Highway fall 17","OkaCroton"
"101","SWG18_5324","Stillhouse 50 Acres","2018","Pan Trap","Hymenoptera","Apidae","Melissodes","tepaneca","F",NA,"50 Acres","Hymenoptera_Apidae_Melissodes_tepaneca","bee","Melissodes_tepaneca","new croton Oka Highway fall 17","OkaCroton"
"102","SWG18_5325","Stillhouse 50 Acres","2018","Pan Trap","Hymenoptera","Apidae","Melissodes","tepaneca","M",NA,"50 Acres","Hymenoptera_Apidae_Melissodes_tepaneca","bee","Melissodes_tepaneca","new croton Oka Highway fall 17","OkaCroton"
"103","SWG18_5326","Stillhouse 50 Acres","2018","Pan Trap","Hymenoptera","Apidae","Melissodes","tepaneca","F",NA,"50 Acres","Hymenoptera_Apidae_Melissodes_tepaneca","bee","Melissodes_tepaneca","new croton Oka Highway fall 17","OkaCroton"
"104","SWG18_5327","Stillhouse 50 Acres","2018","Pan Trap","Hymenoptera","Apidae","Diadasia","rinconis","M",NA,"50 Acres","Hymenoptera_Apidae_Diadasia_rinconis","bee","Diadasia_rinconis","new croton Oka Highway fall 17","OkaCroton"
"105","SWG18_5328","Stillhouse 50 Acres","2018","Pan Trap","Hymenoptera","Apidae","Melissodes","coreopsis","M",NA,"50 Acres","Hymenoptera_Apidae_Melissodes_coreopsis","bee","Melissodes_coreopsis","new croton Oka Highway fall 17","OkaCroton"
"106","SWG18_5329","Stillhouse 50 Acres","2018","Pan Trap","Hymenoptera","Apidae","Diadasia","rinconis","M",NA,"50 Acres","Hymenoptera_Apidae_Diadasia_rinconis","bee","Diadasia_rinconis","new croton Oka Highway fall 17","OkaCroton"
"107","SWG18_5330","Stillhouse 50 Acres","2018","Pan Trap","Hymenoptera","Apidae","Melissodes","tristis","M",NA,"50 Acres","Hymenoptera_Apidae_Melissodes_tristis","bee","Melissodes_tristis","new croton Oka Highway fall 17","OkaCroton"
