site,date,plotname,observer,start_time,transectID,position,herb,wood,canopy,litter,bare,rocky,notes,year,season,site.plot,year_cat,fieldseason
Stillhouse,9/11/17,WMA5,S. Jha,NA,CENTER,21,8,0,0,8,0,0,NA,2017,fall,Stillhouse WMA5,A,fall2017
Stillhouse,9/11/17,WMA5,S. Jha,NA,CENTER,24,9,0,0,7,0,0,NA,2017,fall,Stillhouse WMA5,A,fall2017
Stillhouse,9/11/17,WMA5,S. Jha,NA,CENTER,27,9,0,0,7,0,0,NA,2017,fall,Stillhouse WMA5,A,fall2017
Stillhouse,9/11/17,WMA5,S. Jha,NA,CENTER,30,8,0,0,8,0,0,NA,2017,fall,Stillhouse WMA5,A,fall2017
Stillhouse,9/11/17,WMA5,S. Jha,NA,CENTER,33,8,0,0,8,0,0,NA,2017,fall,Stillhouse WMA5,A,fall2017
Stillhouse,9/11/17,WMA5,S. Jha,NA,CENTER,36,5,0,0,11,0,0,NA,2017,fall,Stillhouse WMA5,A,fall2017
Stillhouse,9/11/17,WMA5,S. Jha,NA,CENTER,39,11,0,0,5,0,0,NA,2017,fall,Stillhouse WMA5,A,fall2017
Stillhouse,9/11/17,WMA5,S. Jha,NA,CENTER,42,8,0,0,8,0,0,NA,2017,fall,Stillhouse WMA5,A,fall2017
Stillhouse,9/11/17,WMA5,S. Jha,NA,CENTER,45,11,0,0,5,0,0,NA,2017,fall,Stillhouse WMA5,A,fall2017
Stillhouse,9/11/17,WMA5,S. Jha,NA,CENTER,48,11,0,0,5,0,0,NA,2017,fall,Stillhouse WMA5,A,fall2017
Stillhouse,9/11/17,WMA5,S. Jha,NA,QL2,0,12,0,0,4,0,0,NA,2017,fall,Stillhouse WMA5,A,fall2017
Stillhouse,9/11/17,WMA5,S. Jha,NA,QL2,3,14,0,0,2,0,0,NA,2017,fall,Stillhouse WMA5,A,fall2017
Stillhouse,9/11/17,WMA5,S. Jha,NA,QL2,6,13,0,0,3,0,0,NA,2017,fall,Stillhouse WMA5,A,fall2017
Stillhouse,9/11/17,WMA5,S. Jha,NA,QL2,9,10,0,0,6,0,0,NA,2017,fall,Stillhouse WMA5,A,fall2017
Stillhouse,9/11/17,WMA5,S. Jha,NA,QL2,12,9,0,0,7,0,0,NA,2017,fall,Stillhouse WMA5,A,fall2017
Stillhouse,9/11/17,WMA5,S. Jha,NA,QL2,15,14,0,0,2,0,0,NA,2017,fall,Stillhouse WMA5,A,fall2017
Stillhouse,9/11/17,WMA5,S. Jha,NA,QL2,18,12,0,0,4,0,0,NA,2017,fall,Stillhouse WMA5,A,fall2017
Stillhouse,9/11/17,WMA5,S. Jha,NA,QL2,21,13,0,0,3,0,0,NA,2017,fall,Stillhouse WMA5,A,fall2017
Stillhouse,9/11/17,WMA5,S. Jha,NA,QL2,24,8,0,0,8,0,0,NA,2017,fall,Stillhouse WMA5,A,fall2017
Stillhouse,9/11/17,WMA5,S. Jha,NA,QL2,27,13.5,0,0,2.5,0,0,NA,2017,fall,Stillhouse WMA5,A,fall2017
Stillhouse,9/11/17,WMA5,S. Jha,NA,QL2,30,12,0,0,4,0,0,NA,2017,fall,Stillhouse WMA5,A,fall2017
Stillhouse,9/11/17,WMA5,S. Jha,NA,QL2,33,11,0,3,5,0,0,NA,2017,fall,Stillhouse WMA5,A,fall2017
Stillhouse,9/11/17,WMA5,S. Jha,NA,QL2,36,12,0,4,4,0,0,NA,2017,fall,Stillhouse WMA5,A,fall2017
Stillhouse,9/11/17,WMA5,S. Jha,NA,QL2,39,9,0,0,7,0,0,NA,2017,fall,Stillhouse WMA5,A,fall2017
Stillhouse,9/11/17,WMA5,S. Jha,NA,QL2,42,8,0,0,8,0,0,NA,2017,fall,Stillhouse WMA5,A,fall2017
Stillhouse,9/11/17,WMA5,S. Jha,NA,QL2,45,12,0,0,4,0,0,NA,2017,fall,Stillhouse WMA5,A,fall2017
Stillhouse,9/11/17,WMA5,S. Jha,NA,QL2,48,11,0,0,5,0,0,NA,2017,fall,Stillhouse WMA5,A,fall2017
Stillhouse,9/11/17,50 Acres,E. Lichtenberg,16:40,QL1,0,11.5,0,0,3.5,1,0,NA,2017,fall,Stillhouse 50 Acres,A,fall2017
Stillhouse,9/11/17,50 Acres,E. Lichtenberg,16:40,QL1,3,9,0,0,0.5,6.5,0,NA,2017,fall,Stillhouse 50 Acres,A,fall2017
Stillhouse,9/11/17,50 Acres,E. Lichtenberg,16:40,QL1,6,11.5,0,0,3,1.5,0,NA,2017,fall,Stillhouse 50 Acres,A,fall2017
Stillhouse,9/11/17,50 Acres,E. Lichtenberg,16:40,QL1,9,8,0,0,7,1,0,NA,2017,fall,Stillhouse 50 Acres,A,fall2017
Stillhouse,9/11/17,50 Acres,E. Lichtenberg,16:40,QL1,12,9,0,0,7,0,0,NA,2017,fall,Stillhouse 50 Acres,A,fall2017
Stillhouse,9/11/17,50 Acres,E. Lichtenberg,16:40,QL1,15,7,0,0,2,7,0,NA,2017,fall,Stillhouse 50 Acres,A,fall2017
Stillhouse,9/11/17,50 Acres,E. Lichtenberg,16:40,QL1,18,9,0,0,6,1,0,NA,2017,fall,Stillhouse 50 Acres,A,fall2017
Stillhouse,9/11/17,50 Acres,E. Lichtenberg,16:40,QL1,21,5,0,0,8,3,0,NA,2017,fall,Stillhouse 50 Acres,A,fall2017
Stillhouse,9/11/17,50 Acres,E. Lichtenberg,16:40,QL1,24,8,0,0,7.5,0.5,0,NA,2017,fall,Stillhouse 50 Acres,A,fall2017
Stillhouse,9/11/17,50 Acres,E. Lichtenberg,16:40,QL1,27,7.5,0,0,7.5,1,0,NA,2017,fall,Stillhouse 50 Acres,A,fall2017
Stillhouse,9/11/17,50 Acres,E. Lichtenberg,16:40,QL1,30,11.5,0,0,4.5,0,0,NA,2017,fall,Stillhouse 50 Acres,A,fall2017
Stillhouse,9/11/17,50 Acres,E. Lichtenberg,16:40,QL1,33,7,0,0,8,1,0,NA,2017,fall,Stillhouse 50 Acres,A,fall2017
Stillhouse,9/11/17,50 Acres,E. Lichtenberg,16:40,QL1,36,3.5,0,0,12,0.5,0,NA,2017,fall,Stillhouse 50 Acres,A,fall2017
Stillhouse,9/11/17,50 Acres,E. Lichtenberg,16:40,QL1,39,3,0,0,12,1,0,NA,2017,fall,Stillhouse 50 Acres,A,fall2017
Stillhouse,9/11/17,50 Acres,E. Lichtenberg,16:40,QL1,42,3.5,0,0,11.5,1,0,NA,2017,fall,Stillhouse 50 Acres,A,fall2017
Stillhouse,9/11/17,50 Acres,E. Lichtenberg,16:40,QL1,45,4.5,0,0,11,0.5,0,NA,2017,fall,Stillhouse 50 Acres,A,fall2017
Stillhouse,9/11/17,50 Acres,E. Lichtenberg,NA,CENTER,0,7,0,0,0,9,0,NA,2017,fall,Stillhouse 50 Acres,A,fall2017
Stillhouse,9/11/17,50 Acres,E. Lichtenberg,NA,CENTER,3,9.5,0,0,0.5,6,0,NA,2017,fall,Stillhouse 50 Acres,A,fall2017
Stillhouse,9/11/17,50 Acres,E. Lichtenberg,NA,CENTER,6,8,0,0,8,0,0,NA,2017,fall,Stillhouse 50 Acres,A,fall2017
Stillhouse,9/11/17,50 Acres,E. Lichtenberg,NA,CENTER,9,8,0,0,8,0,0,NA,2017,fall,Stillhouse 50 Acres,A,fall2017
Stillhouse,9/11/17,50 Acres,E. Lichtenberg,NA,CENTER,12,8.5,0,0,7.5,0,0,NA,2017,fall,Stillhouse 50 Acres,A,fall2017
Stillhouse,9/11/17,50 Acres,E. Lichtenberg,NA,CENTER,15,8,0,0,8,0,0,NA,2017,fall,Stillhouse 50 Acres,A,fall2017
Stillhouse,9/11/17,50 Acres,E. Lichtenberg,NA,CENTER,18,10.5,0,0,5.5,0,0,NA,2017,fall,Stillhouse 50 Acres,A,fall2017
Stillhouse,9/11/17,50 Acres,E. Lichtenberg,NA,CENTER,21,5,0,0,9.5,1.5,0,NA,2017,fall,Stillhouse 50 Acres,A,fall2017
Stillhouse,9/11/17,50 Acres,E. Lichtenberg,NA,CENTER,24,7.5,0,0,8,0.5,0,NA,2017,fall,Stillhouse 50 Acres,A,fall2017
Stillhouse,9/11/17,50 Acres,E. Lichtenberg,NA,CENTER,27,8,0,0,8,0,0,NA,2017,fall,Stillhouse 50 Acres,A,fall2017
Stillhouse,9/11/17,50 Acres,E. Lichtenberg,NA,CENTER,30,3,0,0,13,0,0,NA,2017,fall,Stillhouse 50 Acres,A,fall2017
Stillhouse,9/11/17,50 Acres,E. Lichtenberg,NA,CENTER,33,7.5,0,0,7.5,1,0,corrected,2017,fall,Stillhouse 50 Acres,A,fall2017
Stillhouse,9/11/17,50 Acres,E. Lichtenberg,NA,CENTER,36,10.5,0,0,5,0.5,0,NA,2017,fall,Stillhouse 50 Acres,A,fall2017
Stillhouse,9/11/17,50 Acres,E. Lichtenberg,NA,CENTER,39,2,0,0,14,0,0,NA,2017,fall,Stillhouse 50 Acres,A,fall2017
Stillhouse,9/11/17,50 Acres,E. Lichtenberg,NA,CENTER,42,3,0,0,13,0,0,NA,2017,fall,Stillhouse 50 Acres,A,fall2017
Stillhouse,9/11/17,50 Acres,E. Lichtenberg,NA,CENTER,45,6,0,0,10,0,0,NA,2017,fall,Stillhouse 50 Acres,A,fall2017
Stillhouse,9/11/17,50 Acres,E. Lichtenberg,NA,CENTER,48,8,0,0,8,0,0,NA,2017,fall,Stillhouse 50 Acres,A,fall2017
Stillhouse,9/11/17,50 Acres,E. Lichtenberg,17:33,QL2,0,13,0,0,3,0,0,gully,2017,fall,Stillhouse 50 Acres,A,fall2017
Stillhouse,9/11/17,50 Acres,E. Lichtenberg,17:33,QL2,3,5,0,0,1,9.5,0.5,NA,2017,fall,Stillhouse 50 Acres,A,fall2017
Stillhouse,9/11/17,50 Acres,E. Lichtenberg,17:33,QL2,6,7.5,0,0,6.5,2,0,NA,2017,fall,Stillhouse 50 Acres,A,fall2017
Stillhouse,9/11/17,50 Acres,E. Lichtenberg,17:33,QL2,9,7,0,0,0.5,8.5,0,NA,2017,fall,Stillhouse 50 Acres,A,fall2017
Stillhouse,9/11/17,50 Acres,E. Lichtenberg,17:33,QL2,12,6.5,0,0,3,6.5,0,NA,2017,fall,Stillhouse 50 Acres,A,fall2017
Stillhouse,9/11/17,50 Acres,E. Lichtenberg,17:33,QL2,15,5,0,0,6,5,0,NA,2017,fall,Stillhouse 50 Acres,A,fall2017
Stillhouse,9/11/17,50 Acres,E. Lichtenberg,17:33,QL2,18,7.5,0,0,8,0.5,0,NA,2017,fall,Stillhouse 50 Acres,A,fall2017
Stillhouse,9/11/17,50 Acres,E. Lichtenberg,17:33,QL2,21,11.5,0,0,2.5,2,0,NA,2017,fall,Stillhouse 50 Acres,A,fall2017
Stillhouse,9/11/17,50 Acres,E. Lichtenberg,17:33,QL2,24,7.5,0,0,7.5,1,0,NA,2017,fall,Stillhouse 50 Acres,A,fall2017
Stillhouse,9/11/17,50 Acres,E. Lichtenberg,17:33,QL2,27,8,0,0,8,0,0,NA,2017,fall,Stillhouse 50 Acres,A,fall2017
Stillhouse,9/11/17,50 Acres,E. Lichtenberg,17:33,QL2,30,7.5,0,0,7.5,1,0,NA,2017,fall,Stillhouse 50 Acres,A,fall2017
Stillhouse,9/11/17,50 Acres,E. Lichtenberg,17:33,QL2,33,8.5,0,0,6.5,1,0,NA,2017,fall,Stillhouse 50 Acres,A,fall2017
Stillhouse,9/11/17,50 Acres,E. Lichtenberg,17:33,QL2,36,6,0,0,10,0,0,NA,2017,fall,Stillhouse 50 Acres,A,fall2017
Stillhouse,9/11/17,50 Acres,E. Lichtenberg,17:33,QL2,39,8,0,0,6,2,0,NA,2017,fall,Stillhouse 50 Acres,A,fall2017
Stillhouse,9/11/17,50 Acres,E. Lichtenberg,17:33,QL2,42,8,0,0,7.5,0.5,0,NA,2017,fall,Stillhouse 50 Acres,A,fall2017
Stillhouse,9/11/17,50 Acres,E. Lichtenberg,17:33,QL2,45,4,0,0,11.5,0.5,0,NA,2017,fall,Stillhouse 50 Acres,A,fall2017
Stillhouse,9/11/17,50 Acres,E. Lichtenberg,17:33,QL2,48,9.5,0,0,6,0.5,0,NA,2017,fall,Stillhouse 50 Acres,A,fall2017
Stillhouse,9/11/17,Dana Peak,E. Lichtenberg,9:45,QL1,0,14,0,0,2,0,0,NA,2017,fall,Stillhouse Dana Peak,A,fall2017
Stillhouse,9/11/17,Dana Peak,E. Lichtenberg,9:45,QL1,3,16,0,0,0,0,0,NA,2017,fall,Stillhouse Dana Peak,A,fall2017
Stillhouse,9/11/17,Dana Peak,E. Lichtenberg,9:45,QL1,6,15.5,0,0,0.5,0,0,NA,2017,fall,Stillhouse Dana Peak,A,fall2017
Stillhouse,9/11/17,Dana Peak,E. Lichtenberg,9:45,QL1,9,13.5,0,0,2.5,0,0,NA,2017,fall,Stillhouse Dana Peak,A,fall2017
Stillhouse,9/11/17,Dana Peak,E. Lichtenberg,9:45,QL1,12,15.5,0,0,0.5,0,0,NA,2017,fall,Stillhouse Dana Peak,A,fall2017
Stillhouse,9/11/17,Dana Peak,E. Lichtenberg,9:45,QL1,15,13,0,0,3,0,0,NA,2017,fall,Stillhouse Dana Peak,A,fall2017
Stillhouse,9/11/17,Dana Peak,E. Lichtenberg,9:45,QL1,18,14,0,0,2,0,0,NA,2017,fall,Stillhouse Dana Peak,A,fall2017
Stillhouse,9/11/17,Dana Peak,E. Lichtenberg,9:45,QL1,21,15,0,0,1,0,0,NA,2017,fall,Stillhouse Dana Peak,A,fall2017
Stillhouse,9/11/17,Dana Peak,E. Lichtenberg,9:45,QL1,24,14.5,0,0,1.5,0,0,NA,2017,fall,Stillhouse Dana Peak,A,fall2017
Stillhouse,9/11/17,Dana Peak,E. Lichtenberg,9:45,QL1,27,14.5,0,0,1.5,0,0,NA,2017,fall,Stillhouse Dana Peak,A,fall2017
Stillhouse,9/11/17,Dana Peak,E. Lichtenberg,9:45,QL1,30,13,0,0,3,0,0,NA,2017,fall,Stillhouse Dana Peak,A,fall2017
Stillhouse,9/11/17,Dana Peak,E. Lichtenberg,9:45,QL1,33,13.5,0,0,2.5,0,0,NA,2017,fall,Stillhouse Dana Peak,A,fall2017
Stillhouse,9/11/17,Dana Peak,E. Lichtenberg,9:45,QL1,36,15,0,0,1,0,0,NA,2017,fall,Stillhouse Dana Peak,A,fall2017
Stillhouse,9/11/17,Dana Peak,E. Lichtenberg,9:45,QL1,39,9,0,0,7,0,0,NA,2017,fall,Stillhouse Dana Peak,A,fall2017
Stillhouse,9/11/17,Dana Peak,E. Lichtenberg,9:45,QL1,42,12.5,0,0,3,0.5,0,NA,2017,fall,Stillhouse Dana Peak,A,fall2017
Stillhouse,9/11/17,Dana Peak,E. Lichtenberg,9:45,QL1,45,12.5,0,0,3.5,0,0,NA,2017,fall,Stillhouse Dana Peak,A,fall2017
Stillhouse,9/11/17,Dana Peak,E. Lichtenberg,9:45,QL1,48,12.5,0,0,3,0.5,0,NA,2017,fall,Stillhouse Dana Peak,A,fall2017
Stillhouse,9/11/17,Dana Peak,E. Lichtenberg,NA,CENTER,0,16,0,0,0,0,0,NA,2017,fall,Stillhouse Dana Peak,A,fall2017
Stillhouse,9/11/17,Dana Peak,E. Lichtenberg,NA,CENTER,3,14.5,0,0,1.5,0,0,NA,2017,fall,Stillhouse Dana Peak,A,fall2017
Stillhouse,9/11/17,Dana Peak,E. Lichtenberg,NA,CENTER,6,13.5,0,0,2.5,0,0,NA,2017,fall,Stillhouse Dana Peak,A,fall2017
Stillhouse,9/11/17,Dana Peak,E. Lichtenberg,NA,CENTER,9,14.5,0,0,1.5,0,0,NA,2017,fall,Stillhouse Dana Peak,A,fall2017
Stillhouse,9/11/17,Dana Peak,E. Lichtenberg,NA,CENTER,12,14,0,0,2,0,0,NA,2017,fall,Stillhouse Dana Peak,A,fall2017
Stillhouse,9/11/17,Dana Peak,E. Lichtenberg,NA,CENTER,15,6,0,0,6,4,0,NA,2017,fall,Stillhouse Dana Peak,A,fall2017
Stillhouse,9/11/17,Dana Peak,E. Lichtenberg,NA,CENTER,18,7.5,0,0,1.5,5.5,1.5,NA,2017,fall,Stillhouse Dana Peak,A,fall2017
Stillhouse,9/11/17,Dana Peak,E. Lichtenberg,NA,CENTER,21,7.5,0,0,3,5.5,0,NA,2017,fall,Stillhouse Dana Peak,A,fall2017
Stillhouse,9/11/17,Dana Peak,E. Lichtenberg,NA,CENTER,24,7,0,0,0,0.5,8.5,NA,2017,fall,Stillhouse Dana Peak,A,fall2017
Stillhouse,9/11/17,Dana Peak,E. Lichtenberg,NA,CENTER,27,7,0,0,2,3,4,NA,2017,fall,Stillhouse Dana Peak,A,fall2017
Stillhouse,9/11/17,Dana Peak,E. Lichtenberg,NA,CENTER,30,2,0,0,0.5,0,13.5,NA,2017,fall,Stillhouse Dana Peak,A,fall2017
Stillhouse,9/11/17,Dana Peak,E. Lichtenberg,NA,CENTER,33,4.5,0,0,1,0,10.5,NA,2017,fall,Stillhouse Dana Peak,A,fall2017
Stillhouse,9/11/17,Dana Peak,E. Lichtenberg,NA,CENTER,36,2.5,0,0,1,0.5,12,NA,2017,fall,Stillhouse Dana Peak,A,fall2017
Stillhouse,9/11/17,Dana Peak,E. Lichtenberg,NA,CENTER,39,3,0,0,0.5,0.5,12,NA,2017,fall,Stillhouse Dana Peak,A,fall2017
Stillhouse,9/11/17,Dana Peak,E. Lichtenberg,NA,CENTER,42,4.5,0,0,0,1,10.5,NA,2017,fall,Stillhouse Dana Peak,A,fall2017
Stillhouse,9/11/17,Dana Peak,E. Lichtenberg,NA,CENTER,45,2,0,0,1,0.5,12.5,NA,2017,fall,Stillhouse Dana Peak,A,fall2017
Stillhouse,9/11/17,Dana Peak,E. Lichtenberg,NA,CENTER,48,3,0,0,5.5,0.5,7,NA,2017,fall,Stillhouse Dana Peak,A,fall2017
Stillhouse,9/11/17,Dana Peak,E. Lichtenberg,10:55,QL2,0,14,0,0,2,0,0,NA,2017,fall,Stillhouse Dana Peak,A,fall2017
Stillhouse,9/11/17,Dana Peak,E. Lichtenberg,10:55,QL2,3,14,0,0,2,0,0,NA,2017,fall,Stillhouse Dana Peak,A,fall2017
Stillhouse,9/11/17,Dana Peak,E. Lichtenberg,10:55,QL2,6,13,0,0,3,0,0,NA,2017,fall,Stillhouse Dana Peak,A,fall2017
Stillhouse,9/11/17,Dana Peak,E. Lichtenberg,10:55,QL2,9,14.5,0,0,1.5,0,0,NA,2017,fall,Stillhouse Dana Peak,A,fall2017
Stillhouse,9/11/17,Dana Peak,E. Lichtenberg,10:55,QL2,12,11,0,0,5,0,0,NA,2017,fall,Stillhouse Dana Peak,A,fall2017
Stillhouse,9/11/17,Dana Peak,E. Lichtenberg,10:55,QL2,15,10.5,0,0,5.5,0,0,NA,2017,fall,Stillhouse Dana Peak,A,fall2017
Stillhouse,9/11/17,Dana Peak,E. Lichtenberg,10:55,QL2,18,10,0,0,6,0,0,NA,2017,fall,Stillhouse Dana Peak,A,fall2017
Stillhouse,9/11/17,Dana Peak,E. Lichtenberg,10:55,QL2,21,13.5,0,0,2.5,0,0,NA,2017,fall,Stillhouse Dana Peak,A,fall2017
Stillhouse,9/11/17,Dana Peak,E. Lichtenberg,10:55,QL2,24,15,0,0,1,0,0,NA,2017,fall,Stillhouse Dana Peak,A,fall2017
Stillhouse,9/11/17,Dana Peak,E. Lichtenberg,10:55,QL2,27,13.5,0,0,2.5,0,0,NA,2017,fall,Stillhouse Dana Peak,A,fall2017
Stillhouse,9/11/17,Dana Peak,E. Lichtenberg,10:55,QL2,30,13,0,0,3,0,0,NA,2017,fall,Stillhouse Dana Peak,A,fall2017
Stillhouse,9/11/17,Dana Peak,E. Lichtenberg,10:55,QL2,33,14,0,0,2,0,0,NA,2017,fall,Stillhouse Dana Peak,A,fall2017
Stillhouse,9/11/17,Dana Peak,E. Lichtenberg,10:55,QL2,36,12.5,0,0,2.5,1,0,NA,2017,fall,Stillhouse Dana Peak,A,fall2017
Stillhouse,9/11/17,Dana Peak,E. Lichtenberg,10:55,QL2,39,13,0,0,3,0,0,NA,2017,fall,Stillhouse Dana Peak,A,fall2017
Stillhouse,9/11/17,Dana Peak,E. Lichtenberg,10:55,QL2,42,10,0,0,6,0,0,NA,2017,fall,Stillhouse Dana Peak,A,fall2017
Stillhouse,9/11/17,Dana Peak,E. Lichtenberg,10:55,QL2,45,13.5,0,0,2.5,0,0,NA,2017,fall,Stillhouse Dana Peak,A,fall2017
Stillhouse,9/11/17,Dana Peak,E. Lichtenberg,10:55,QL2,48,13,0,0,3,0,0,NA,2017,fall,Stillhouse Dana Peak,A,fall2017
Stillhouse,9/11/17,Union Grove,S. Jha,13:00,QL1,0,15,0,0,1,0,0,NA,2017,fall,Stillhouse Union Grove,A,fall2017
Stillhouse,9/11/17,Union Grove,S. Jha,13:00,QL1,3,13,0,0,3,0,0,NA,2017,fall,Stillhouse Union Grove,A,fall2017
Stillhouse,9/11/17,Union Grove,S. Jha,13:00,QL1,6,13,0,0,3,0,0,NA,2017,fall,Stillhouse Union Grove,A,fall2017
Stillhouse,9/11/17,Union Grove,S. Jha,13:00,QL1,9,13,0,0,3,0,0,NA,2017,fall,Stillhouse Union Grove,A,fall2017
Stillhouse,9/11/17,Union Grove,S. Jha,13:00,QL1,12,12.5,0,0,3.5,0,0,NA,2017,fall,Stillhouse Union Grove,A,fall2017
Stillhouse,9/11/17,Union Grove,S. Jha,13:00,QL1,15,12.5,0,0,3.5,0,0,NA,2017,fall,Stillhouse Union Grove,A,fall2017
Stillhouse,9/11/17,Union Grove,S. Jha,13:00,QL1,18,12,0,0,4,0,0,NA,2017,fall,Stillhouse Union Grove,A,fall2017
Stillhouse,9/11/17,Union Grove,S. Jha,13:00,QL1,21,13.5,0,0,2.5,0,0,NA,2017,fall,Stillhouse Union Grove,A,fall2017
Stillhouse,9/11/17,Union Grove,S. Jha,13:00,QL1,24,13.5,0,0,2.5,0,0,NA,2017,fall,Stillhouse Union Grove,A,fall2017
Stillhouse,9/11/17,Union Grove,S. Jha,13:00,QL1,27,11.5,0,0,4.5,0,0,NA,2017,fall,Stillhouse Union Grove,A,fall2017
Stillhouse,9/11/17,Union Grove,S. Jha,13:00,QL1,30,13.5,0,0,2.5,0,0,NA,2017,fall,Stillhouse Union Grove,A,fall2017
Stillhouse,9/11/17,Union Grove,S. Jha,13:00,QL1,33,14,0,0,2,0,0,NA,2017,fall,Stillhouse Union Grove,A,fall2017
Stillhouse,9/11/17,Union Grove,S. Jha,13:00,QL1,36,14,0,0,2,0,0,NA,2017,fall,Stillhouse Union Grove,A,fall2017
Stillhouse,9/11/17,Union Grove,S. Jha,13:00,QL1,39,14.5,0,0,1.5,0,0,NA,2017,fall,Stillhouse Union Grove,A,fall2017
Stillhouse,9/11/17,Union Grove,S. Jha,13:00,QL1,42,7,0,0,9,0,0,NA,2017,fall,Stillhouse Union Grove,A,fall2017
Stillhouse,9/11/17,Union Grove,S. Jha,13:00,QL1,45,8,0,0,8,0,0,NA,2017,fall,Stillhouse Union Grove,A,fall2017
Stillhouse,9/11/17,Union Grove,S. Jha,13:00,QL1,48,7,0,0,9,0,0,NA,2017,fall,Stillhouse Union Grove,A,fall2017
Stillhouse,9/11/17,Union Grove,S. Jha,NA,CENTER,0,14,0,0,2,0,0,NA,2017,fall,Stillhouse Union Grove,A,fall2017
Stillhouse,9/11/17,Union Grove,S. Jha,NA,CENTER,3,15,0,0,1,0,0,NA,2017,fall,Stillhouse Union Grove,A,fall2017
Stillhouse,9/11/17,Union Grove,S. Jha,NA,CENTER,6,15,0,0,1,0,0,NA,2017,fall,Stillhouse Union Grove,A,fall2017
Stillhouse,9/11/17,Union Grove,S. Jha,NA,CENTER,9,14,0,0,2,0,0,NA,2017,fall,Stillhouse Union Grove,A,fall2017
Stillhouse,9/11/17,Union Grove,S. Jha,NA,CENTER,12,14,0,0,2,0,0,NA,2017,fall,Stillhouse Union Grove,A,fall2017
Stillhouse,9/11/17,Union Grove,S. Jha,NA,CENTER,15,14,0,0,2,0,0,NA,2017,fall,Stillhouse Union Grove,A,fall2017
