Year,Site,Plot,Date,Time,Observer,Transect,Quad.,Bothriochloa_TR,Bothriochloa_TL,Bothriochloa_BR,Bothriochloa_BL,Total_Bothriochloa,Prop_Bothriochloa,Sorghastrum_TR,Sorghastrum_TL,Sorghastrum_BR,Sorghastrum_BL,Total_Sorghastrum,Prop_Sorghatrum,Present,Notes
2021,Stillhouse,50 Acres_s,6/9/21,12:53,"B. Durrington, S. Wilhelm",QL2,48,0,0,0,0,0,0,0,0,0,0,0,0,no,
2021,Stillhouse,WMAS,6/9/21,14:24,"S. Wilhelm, B. Durrington",QL1,0,1,1,1,1,4,1,0,0,0,0,0,0,yes,
2021,Stillhouse,WMAS,6/9/21,14:24,"S. Wilhelm, B. Durrington",QL1,3,1,1,1,0,3,0.75,0,0,0,0,0,0,yes,
2021,Stillhouse,WMAS,6/9/21,14:24,"S. Wilhelm, B. Durrington",QL1,6,1,1,1,1,4,1,0,0,0,0,0,0,yes,
2021,Stillhouse,WMAS,6/9/21,14:24,"S. Wilhelm, B. Durrington",QL1,9,1,1,1,1,4,1,0,0,0,0,0,0,yes,
2021,Stillhouse,WMAS,6/9/21,14:24,"S. Wilhelm, B. Durrington",QL1,12,0,0,1,1,2,0.5,0,0,0,0,0,0,yes,
2021,Stillhouse,WMAS,6/9/21,14:24,"S. Wilhelm, B. Durrington",QL1,15,1,0,0,1,2,0.5,0,0,0,0,0,0,yes,
2021,Stillhouse,WMAS,6/9/21,14:24,"S. Wilhelm, B. Durrington",QL1,18,1,0,1,1,3,0.75,0,0,0,0,0,0,yes,
2021,Stillhouse,WMAS,6/9/21,14:24,"S. Wilhelm, B. Durrington",QL1,21,1,1,1,1,4,1,0,0,0,0,0,0,yes,
2021,Stillhouse,WMAS,6/9/21,14:24,"S. Wilhelm, B. Durrington",QL1,24,1,0,0,0,1,0.25,0,0,0,0,0,0,yes,
2021,Stillhouse,WMAS,6/9/21,14:24,"S. Wilhelm, B. Durrington",QL1,27,1,1,1,1,4,1,0,0,0,0,0,0,yes,
2021,Stillhouse,WMAS,6/9/21,14:24,"S. Wilhelm, B. Durrington",QL1,30,1,0,1,0,2,0.5,0,0,0,0,0,0,yes,
2021,Stillhouse,WMAS,6/9/21,14:24,"S. Wilhelm, B. Durrington",QL1,33,1,1,1,1,4,1,0,0,0,0,0,0,yes,
2021,Stillhouse,WMAS,6/9/21,14:24,"S. Wilhelm, B. Durrington",QL1,36,1,1,1,0,3,0.75,0,0,0,0,0,0,yes,
2021,Stillhouse,WMAS,6/9/21,14:24,"S. Wilhelm, B. Durrington",QL1,39,1,1,1,0,3,0.75,0,0,0,0,0,0,yes,
2021,Stillhouse,WMAS,6/9/21,14:24,"S. Wilhelm, B. Durrington",QL1,42,1,1,1,1,4,1,0,0,0,0,0,0,yes,
2021,Stillhouse,WMAS,6/9/21,14:24,"S. Wilhelm, B. Durrington",QL1,45,0,1,1,0,2,0.5,0,0,0,0,0,0,yes,
2021,Stillhouse,WMAS,6/9/21,14:24,"S. Wilhelm, B. Durrington",QL1,48,1,1,1,1,4,1,0,0,0,0,0,0,yes,
2021,Stillhouse,WMAS,6/9/21,14:51,"S. Wilhelm, B. Durrington",CTR,0,0,1,0,1,2,0.5,0,0,0,0,0,0,yes,
2021,Stillhouse,WMAS,6/9/21,14:51,"S. Wilhelm, B. Durrington",CTR,3,1,0,1,0,2,0.5,0,0,0,0,0,0,yes,
2021,Stillhouse,WMAS,6/9/21,14:51,"S. Wilhelm, B. Durrington",CTR,6,0,0,0,1,1,0.25,0,0,0,0,0,0,yes,
2021,Stillhouse,WMAS,6/9/21,14:51,"S. Wilhelm, B. Durrington",CTR,9,0,0,0,1,1,0.25,0,0,0,0,0,0,yes,
2021,Stillhouse,WMAS,6/9/21,14:51,"S. Wilhelm, B. Durrington",CTR,12,0,0,0,0,0,0,0,0,0,0,0,0,no,wet ground
2021,Stillhouse,WMAS,6/9/21,14:51,"S. Wilhelm, B. Durrington",CTR,15,0,0,0,0,0,0,0,0,0,0,0,0,no,wet ground
2021,Stillhouse,WMAS,6/9/21,14:51,"S. Wilhelm, B. Durrington",CTR,18,1,0,0,0,1,0.25,0,0,0,0,0,0,yes,wet ground
2021,Stillhouse,WMAS,6/9/21,14:51,"S. Wilhelm, B. Durrington",CTR,21,1,1,1,1,4,1,0,0,0,0,0,0,yes,
2021,Stillhouse,WMAS,6/9/21,14:51,"S. Wilhelm, B. Durrington",CTR,24,1,1,1,0,3,0.75,0,0,0,0,0,0,yes,
2021,Stillhouse,WMAS,6/9/21,14:51,"S. Wilhelm, B. Durrington",CTR,27,1,1,1,1,4,1,0,0,0,0,0,0,yes,
2021,Stillhouse,WMAS,6/9/21,14:51,"S. Wilhelm, B. Durrington",CTR,30,1,1,1,1,4,1,0,0,0,0,0,0,yes,
2021,Stillhouse,WMAS,6/9/21,14:51,"S. Wilhelm, B. Durrington",CTR,33,1,1,0,1,3,0.75,0,0,0,0,0,0,yes,
2021,Stillhouse,WMAS,6/9/21,14:51,"S. Wilhelm, B. Durrington",CTR,36,0,1,1,1,3,0.75,0,0,0,0,0,0,yes,
2021,Stillhouse,WMAS,6/9/21,14:51,"S. Wilhelm, B. Durrington",CTR,39,1,1,1,1,4,1,0,0,0,0,0,0,yes,
2021,Stillhouse,WMAS,6/9/21,14:51,"S. Wilhelm, B. Durrington",CTR,42,1,1,1,0,3,0.75,0,0,0,0,0,0,yes,
2021,Stillhouse,WMAS,6/9/21,14:51,"S. Wilhelm, B. Durrington",CTR,45,1,1,1,1,4,1,0,0,0,0,0,0,yes,
2021,Stillhouse,WMAS,6/9/21,14:51,"S. Wilhelm, B. Durrington",CTR,48,1,1,1,1,4,1,0,0,0,0,0,0,yes,
2021,Stillhouse,WMAS,6/9/21,15:26,"S. Wilhelm, B. Durrington",QL2,0,1,1,1,1,4,1,0,0,0,0,0,0,yes,
2021,Stillhouse,WMAS,6/9/21,15:26,"S. Wilhelm, B. Durrington",QL2,3,1,0,1,0,2,0.5,0,0,0,0,0,0,yes,
2021,Stillhouse,WMAS,6/9/21,15:26,"S. Wilhelm, B. Durrington",QL2,6,1,1,1,1,4,1,0,0,0,0,0,0,yes,
2021,Stillhouse,WMAS,6/9/21,15:26,"S. Wilhelm, B. Durrington",QL2,9,1,1,1,1,4,1,0,0,0,0,0,0,yes,
2021,Stillhouse,WMAS,6/9/21,15:26,"S. Wilhelm, B. Durrington",QL2,12,1,1,1,1,4,1,0,0,0,0,0,0,yes,
2021,Stillhouse,WMAS,6/9/21,15:26,"S. Wilhelm, B. Durrington",QL2,15,1,1,1,1,4,1,0,0,0,0,0,0,yes,
2021,Stillhouse,WMAS,6/9/21,15:26,"S. Wilhelm, B. Durrington",QL2,18,1,1,0,1,3,0.75,0,0,0,0,0,0,yes,
2021,Stillhouse,WMAS,6/9/21,15:26,"S. Wilhelm, B. Durrington",QL2,21,1,1,0,1,3,0.75,0,0,0,0,0,0,yes,
2021,Stillhouse,WMAS,6/9/21,15:26,"S. Wilhelm, B. Durrington",QL2,24,1,1,1,0,3,0.75,0,0,0,0,0,0,yes,
2021,Stillhouse,WMAS,6/9/21,15:26,"S. Wilhelm, B. Durrington",QL2,27,1,1,1,1,4,1,0,0,0,0,0,0,yes,
2021,Stillhouse,WMAS,6/9/21,15:26,"S. Wilhelm, B. Durrington",QL2,30,1,1,1,1,4,1,0,0,0,0,0,0,yes,
2021,Stillhouse,WMAS,6/9/21,15:26,"S. Wilhelm, B. Durrington",QL2,33,1,1,1,1,4,1,0,0,0,0,0,0,yes,
2021,Stillhouse,WMAS,6/9/21,15:26,"S. Wilhelm, B. Durrington",QL2,36,1,0,1,0,2,0.5,0,0,0,0,0,0,yes,
2021,Stillhouse,WMAS,6/9/21,15:26,"S. Wilhelm, B. Durrington",QL2,39,1,1,1,1,4,1,0,0,0,0,0,0,yes,
2021,Stillhouse,WMAS,6/9/21,15:26,"S. Wilhelm, B. Durrington",QL2,42,1,1,1,1,4,1,0,0,0,0,0,0,yes,
2021,Stillhouse,WMAS,6/9/21,15:26,"S. Wilhelm, B. Durrington",QL2,45,1,1,1,1,4,1,0,0,0,0,0,0,yes,
2021,Stillhouse,WMAS,6/9/21,15:26,"S. Wilhelm, B. Durrington",QL2,48,1,1,0,1,3,0.75,0,0,0,0,0,0,yes,
2021,Stillhouse,Dana Peak,6/10/21,7:53,S. Wilhelm,QL1,0,1,1,1,1,4,1,0,0,0,0,0,0,yes,deer grazing
2021,Stillhouse,Dana Peak,6/10/21,7:53,S. Wilhelm,QL1,3,1,1,0,1,3,0.75,0,0,0,0,0,0,yes,
2021,Stillhouse,Dana Peak,6/10/21,7:53,S. Wilhelm,QL1,6,1,0,1,0,2,0.5,0,0,0,0,0,0,yes,
2021,Stillhouse,Dana Peak,6/10/21,7:53,S. Wilhelm,QL1,9,1,1,1,1,4,1,0,0,0,0,0,0,yes,
2021,Stillhouse,Dana Peak,6/10/21,7:53,S. Wilhelm,QL1,12,0,0,1,1,2,0.5,0,0,0,0,0,0,yes,
2021,Stillhouse,Dana Peak,6/10/21,7:53,S. Wilhelm,QL1,15,1,1,1,0,3,0.75,0,0,0,0,0,0,yes,
2021,Stillhouse,Dana Peak,6/10/21,7:53,S. Wilhelm,QL1,18,1,1,0,1,3,0.75,0,0,0,0,0,0,yes,
2021,Stillhouse,Dana Peak,6/10/21,7:53,S. Wilhelm,QL1,21,0,0,1,0,1,0.25,0,0,0,0,0,0,yes,
2021,Stillhouse,Dana Peak,6/10/21,7:53,S. Wilhelm,QL1,24,1,1,1,1,4,1,0,0,0,0,0,0,yes,
2021,Stillhouse,Dana Peak,6/10/21,7:53,S. Wilhelm,QL1,27,1,0,1,1,3,0.75,0,0,0,0,0,0,yes,
2021,Stillhouse,Dana Peak,6/10/21,7:53,S. Wilhelm,QL1,30,1,1,1,0,3,0.75,0,0,0,0,0,0,yes,
2021,Stillhouse,Dana Peak,6/10/21,7:53,S. Wilhelm,QL1,33,1,1,1,1,4,1,0,0,0,0,0,0,yes,
2021,Stillhouse,Dana Peak,6/10/21,7:53,S. Wilhelm,QL1,36,1,1,1,1,4,1,0,0,0,0,0,0,yes,
2021,Stillhouse,Dana Peak,6/10/21,7:53,S. Wilhelm,QL1,39,0,1,1,0,2,0.5,0,0,0,0,0,0,yes,
2021,Stillhouse,Dana Peak,6/10/21,7:53,S. Wilhelm,QL1,42,1,1,0,1,3,0.75,0,0,0,0,0,0,yes,
2021,Stillhouse,Dana Peak,6/10/21,7:53,S. Wilhelm,QL1,45,1,0,0,0,1,0.25,0,0,0,0,0,0,yes,
2021,Stillhouse,Dana Peak,6/10/21,7:53,S. Wilhelm,QL1,48,0,0,0,0,0,0,0,0,0,0,0,0,no,
2021,Stillhouse,Dana Peak,6/10/21,9:23,S. Wilhelm,CTR,0,0,1,1,1,3,0.75,0,0,0,0,0,0,yes,
2021,Stillhouse,Dana Peak,6/10/21,9:23,S. Wilhelm,CTR,3,1,1,1,1,4,1,0,0,0,0,0,0,yes,
2021,Stillhouse,Dana Peak,6/10/21,9:23,S. Wilhelm,CTR,6,1,1,0,1,3,0.75,0,0,0,0,0,0,yes,
2021,Stillhouse,Dana Peak,6/10/21,9:23,S. Wilhelm,CTR,9,1,1,1,1,4,1,0,0,0,0,0,0,yes,
2021,Stillhouse,Dana Peak,6/10/21,9:23,S. Wilhelm,CTR,12,1,1,0,1,3,0.75,0,0,0,0,0,0,yes,
2021,Stillhouse,Dana Peak,6/10/21,9:23,S. Wilhelm,CTR,15,1,1,1,0,3,0.75,0,0,0,0,0,0,yes,
2021,Stillhouse,Dana Peak,6/10/21,9:23,S. Wilhelm,CTR,18,1,1,1,1,4,1,0,0,0,0,0,0,yes,
2021,Stillhouse,Dana Peak,6/10/21,9:23,S. Wilhelm,CTR,21,1,1,1,1,4,1,0,0,0,0,0,0,yes,
2021,Stillhouse,Dana Peak,6/10/21,9:23,S. Wilhelm,CTR,24,0,0,0,1,1,0.25,0,0,0,0,0,0,yes,
2021,Stillhouse,Dana Peak,6/10/21,9:23,S. Wilhelm,CTR,27,1,1,1,1,4,1,0,0,0,0,0,0,yes,
2021,Stillhouse,Dana Peak,6/10/21,9:23,S. Wilhelm,CTR,30,0,0,0,0,0,0,0,0,0,0,0,0,no,
2021,Stillhouse,Dana Peak,6/10/21,9:23,S. Wilhelm,CTR,33,1,0,1,1,3,0.75,0,0,0,0,0,0,yes,
2021,Stillhouse,Dana Peak,6/10/21,9:23,S. Wilhelm,CTR,36,0,0,0,1,1,0.25,0,0,0,0,0,0,yes,
2021,Stillhouse,Dana Peak,6/10/21,9:23,S. Wilhelm,CTR,39,0,1,0,0,1,0.25,0,0,0,0,0,0,yes,
2021,Stillhouse,Dana Peak,6/10/21,9:23,S. Wilhelm,CTR,42,0,1,0,1,2,0.5,0,0,0,0,0,0,yes,
2021,Stillhouse,Dana Peak,6/10/21,9:23,S. Wilhelm,CTR,45,0,0,1,0,1,0.25,0,0,0,0,0,0,yes,
2021,Stillhouse,Dana Peak,6/10/21,9:23,S. Wilhelm,CTR,48,1,0,0,0,1,0.25,0,0,0,0,0,0,yes,
2021,Stillhouse,Dana Peak,6/10/21,10:45,S. Wilhelm,QL2,0,1,0,0,1,2,0.5,0,0,0,0,0,0,yes,
2021,Stillhouse,Dana Peak,6/10/21,10:45,S. Wilhelm,QL2,3,1,1,1,0,3,0.75,0,0,0,0,0,0,yes,
2021,Stillhouse,Dana Peak,6/10/21,10:45,S. Wilhelm,QL2,6,1,1,1,0,3,0.75,0,0,0,0,0,0,yes,
2021,Stillhouse,Dana Peak,6/10/21,10:45,S. Wilhelm,QL2,9,0,0,1,0,1,0.25,0,0,0,0,0,0,yes,
2021,Stillhouse,Dana Peak,6/10/21,10:45,S. Wilhelm,QL2,12,0,0,1,0,1,0.25,0,0,0,0,0,0,yes,
2021,Stillhouse,Dana Peak,6/10/21,10:45,S. Wilhelm,QL2,15,0,0,0,0,0,0,0,0,0,0,0,0,no,
2021,Stillhouse,Dana Peak,6/10/21,10:45,S. Wilhelm,QL2,18,0,0,0,0,0,0,0,0,0,0,0,0,no,
2021,Stillhouse,Dana Peak,6/10/21,10:45,S. Wilhelm,QL2,21,0,0,0,1,1,0.25,0,0,0,0,0,0,yes,
2021,Stillhouse,Dana Peak,6/10/21,10:45,S. Wilhelm,QL2,24,1,1,1,1,4,1,0,0,0,0,0,0,yes,
2021,Stillhouse,Dana Peak,6/10/21,10:45,S. Wilhelm,QL2,27,1,1,1,0,3,0.75,0,0,0,0,0,0,yes,
2021,Stillhouse,Dana Peak,6/10/21,10:45,S. Wilhelm,QL2,30,1,0,1,1,3,0.75,0,0,0,0,0,0,yes,
2021,Stillhouse,Dana Peak,6/10/21,10:45,S. Wilhelm,QL2,33,1,1,1,1,4,1,0,0,0,0,0,0,yes,
2021,Stillhouse,Dana Peak,6/10/21,10:45,S. Wilhelm,QL2,36,1,1,1,1,4,1,0,0,0,0,0,0,yes,
2021,Stillhouse,Dana Peak,6/10/21,10:45,S. Wilhelm,QL2,39,1,1,1,1,4,1,0,0,0,0,0,0,yes,
2021,Stillhouse,Dana Peak,6/10/21,10:45,S. Wilhelm,QL2,42,1,1,1,1,4,1,0,0,0,0,0,0,yes,
2021,Stillhouse,Dana Peak,6/10/21,10:45,S. Wilhelm,QL2,45,1,1,1,1,4,1,0,0,0,0,0,0,yes,
2021,Stillhouse,Dana Peak,6/10/21,10:45,S. Wilhelm,QL2,48,1,1,1,1,4,1,0,0,0,0,0,0,yes,
2021,Waco,Area 111,6/12/21,7:38,S. Wilhelm,QL1,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
2021,Waco,Area 111,6/12/21,7:38,S. Wilhelm,QL1,3,0,0,0,0,0,0,0,0,0,0,0,0,no,
2021,Waco,Area 111,6/12/21,7:38,S. Wilhelm,QL1,6,0,0,0,0,0,0,0,0,0,0,0,0,no,
2021,Waco,Area 111,6/12/21,7:38,S. Wilhelm,QL1,9,0,0,0,0,0,0,0,0,0,0,0,0,no,
2021,Waco,Area 111,6/12/21,7:38,S. Wilhelm,QL1,12,0,0,0,0,0,0,0,0,0,0,0,0,no,
2021,Waco,Area 111,6/12/21,7:38,S. Wilhelm,QL1,15,0,0,0,0,0,0,0,0,0,0,0,0,no,
2021,Waco,Area 111,6/12/21,7:38,S. Wilhelm,QL1,18,0,0,0,0,0,0,0,0,0,0,0,0,no,
2021,Waco,Area 111,6/12/21,7:38,S. Wilhelm,QL1,21,0,0,0,0,0,0,0,0,0,0,0,0,no,
2021,Waco,Area 111,6/12/21,7:38,S. Wilhelm,QL1,24,0,0,0,0,0,0,0,0,0,0,0,0,no,
2021,Waco,Area 111,6/12/21,7:38,S. Wilhelm,QL1,27,1,1,0,0,2,0.5,0,0,0,0,0,0,yes,
2021,Waco,Area 111,6/12/21,7:38,S. Wilhelm,QL1,30,0,1,0,1,2,0.5,0,0,0,0,0,0,yes,
2021,Waco,Area 111,6/12/21,7:38,S. Wilhelm,QL1,33,0,0,0,0,0,0,0,0,0,0,0,0,no,
2021,Waco,Area 111,6/12/21,7:38,S. Wilhelm,QL1,36,1,0,0,1,2,0.5,0,0,0,0,0,0,yes,
2021,Waco,Area 111,6/12/21,7:38,S. Wilhelm,QL1,39,0,0,0,0,0,0,0,0,0,0,0,0,no,
2021,Waco,Area 111,6/12/21,7:38,S. Wilhelm,QL1,42,0,0,0,0,0,0,0,0,0,0,0,0,no,
2021,Waco,Area 111,6/12/21,7:38,S. Wilhelm,QL1,45,1,1,1,1,4,1,0,0,0,0,0,0,yes,
2021,Waco,Area 111,6/12/21,7:38,S. Wilhelm,QL1,48,1,1,1,1,4,1,0,0,0,0,0,0,yes,
2021,Waco,Area 111,6/12/21,8:17,S. Wilhelm,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
2021,Waco,Area 111,6/12/21,8:17,S. Wilhelm,CTR,3,0,0,0,0,0,0,0,0,0,0,0,0,no,
2021,Waco,Area 111,6/12/21,8:17,S. Wilhelm,CTR,6,1,1,1,1,4,1,0,0,0,0,0,0,yes,
2021,Waco,Area 111,6/12/21,8:17,S. Wilhelm,CTR,9,0,0,0,0,0,0,0,0,0,0,0,0,no,
2021,Waco,Area 111,6/12/21,8:17,S. Wilhelm,CTR,12,0,0,0,0,0,0,0,0,0,0,0,0,no,
2021,Waco,Area 111,6/12/21,8:17,S. Wilhelm,CTR,15,0,0,0,0,0,0,0,0,0,0,0,0,no,
2021,Waco,Area 111,6/12/21,8:17,S. Wilhelm,CTR,18,1,0,0,0,1,0.25,0,0,0,0,0,0,yes,
2021,Waco,Area 111,6/12/21,8:17,S. Wilhelm,CTR,21,0,0,0,1,1,0.25,0,0,0,0,0,0,yes,
2021,Waco,Area 111,6/12/21,8:17,S. Wilhelm,CTR,24,1,0,0,1,2,0.5,0,0,0,0,0,0,yes,
2021,Waco,Area 111,6/12/21,8:17,S. Wilhelm,CTR,27,1,1,1,1,4,1,0,0,0,0,0,0,yes,
2021,Waco,Area 111,6/12/21,8:17,S. Wilhelm,CTR,30,0,1,1,1,3,0.75,0,0,0,0,0,0,yes,
2021,Waco,Area 111,6/12/21,8:17,S. Wilhelm,CTR,33,0,0,0,0,0,0,0,0,0,0,0,0,no,
2021,Waco,Area 111,6/12/21,8:17,S. Wilhelm,CTR,36,1,0,0,1,2,0.5,0,0,0,0,0,0,yes,
2021,Waco,Area 111,6/12/21,8:17,S. Wilhelm,CTR,39,0,0,0,0,0,0,0,0,0,0,0,0,no,
