year,season,site,plot,siteplot,date,precip14,avgprecip14,avgtemp14,maxtemp14,gdd14,precip30,avgprecip30,avgtemp30,maxtemp30,gdd30,precip60,avgprecip60,avgtemp60,maxtemp60,gdd60,precip90,avgprecip90,avgtemp90,maxtemp90,gdd90,precip120,avgprecip120,avgtemp120,maxtemp120,gdd120,precip150,avgprecip150,avgtemp150,maxtemp150,gdd150,precip180,avgprecip180,avgtemp180,maxtemp180,gdd180,precip365,avgprecip365,avgtemp365,maxtemp365,gdd365
2018,summer,Clay,Deer,Clay_Deer,6/18/2018,32.03,2.135333333,29.1,38,244.25,40.22,1.297419355,28.43225806,39.7,489.75,111.74,1.831803279,24.73278689,39.7,912.05,141.12,1.550769231,21.71758242,39.7,1138.6,303.48,2.508099174,19.36033058,39.7,1301.6,308.72,2.044503311,17.03642384,39.7,1404.25,347.11,1.917734807,14.7441989,39.7,1448.2,742.23,2.02795082,18.3795082,39.7,3834.25
2019,summer,Clay,Deer,Clay_Deer,6/17/2019,30.84,2.056,24.33333333,34.2,207.2,222.84,7.188387097,24.36451613,34.2,432.9,467.54,7.664590164,21.9557377,34.2,734.3,519.39,5.707582418,19.84505495,35.6,944.55,570.14,4.711900826,16.89504132,35.6,1025.25,588.09,3.894635762,15.21258278,35.6,1127.8,642.23,3.548232044,13.94198895,35.6,1196.3,1305.68,3.567431694,17.87868852,43.7,3579.25
2018,spring,Clay,Gate,Clay_Gate,4/21/2018,0,0,15.01333333,34.4,107.95,28.18,0.909032258,15.77741935,34.4,231.4,177.52,2.910163934,13.9852459,34.4,400.5,183.86,2.02043956,12.04725275,34.4,508.7,193.45,1.598760331,9.719834711,34.4,550.25,223.29,1.478741722,9.92781457,34.4,686.55,253.08,1.398232044,10.70497238,34.4,882.85,764.42,2.088579235,17.87650273,39.6,3668.4
2019,spring,Clay,Gate,Clay_Gate,4/6/2019,1.19,0.079333333,15.39333333,29.3,100,43.87,1.41516129,13.64516129,29.3,175.35,70.24,1.15147541,10.3,29.3,253.5,84.96,0.933626374,9.558241758,29.3,334.7,170.25,1.407024793,8.814876033,29.3,390.25,181.29,1.200596026,8.836423841,29.3,492.35,420.7,2.324309392,9.935359116,31,682.05,907.64,2.47989071,18.16202186,43.8,3728.95
2017,fall,Clay,Gate,Clay_Gate,9/18/2017,0,0,24.26,37.6,192.55,78.13,2.520322581,25.26451613,37.6,433.15,184.28,3.020983607,27.1295082,39.6,1044.7,273.51,3.005604396,27.37032967,39.6,1580.35,374.97,3.09892562,26.7322314,39.6,2024.65,406.44,2.691655629,25.41324503,39.6,2346.1,511.5,2.825966851,24.38287293,39.6,2634.3,752.42,2.05579235,19.33743169,39.6,3900.45
2018,fall,Clay,Gate,Clay_Gate,9/17/2018,118.02,7.868,25.27333333,34.9,221.6,146,4.709677419,27.66129032,38.1,486.85,220.71,3.618196721,28.73114754,43.8,1142.6,292.61,3.215494505,29.20769231,43.8,1747.8,332.85,2.750826446,29.01735537,43.8,2301.3,401.59,2.659536424,27.49337748,43.8,2653.6,429.77,2.37441989,25.53314917,43.8,2882.95,759.57,2.075327869,18.80846995,43.8,4000.75
2019,fall,Clay,Gate,Clay_Gate,9/24/2019,5.73,0.382,27.99333333,35.8,236.7,58.62,1.890967742,28.00645161,39.9,483.25,97.74,1.602295082,29.1295082,39.9,1166.4,192.97,2.120549451,28.75274725,39.9,1705.5,397.53,3.285371901,27.85041322,39.9,2158.6,646.78,4.283311258,26.53046358,39.9,2497.15,751.5,4.151933702,24.86906077,39.9,2722.7,1187.26,3.243879781,17.71639344,39.9,3534.85
2017,summer,Clay,Gate,Clay_Gate,6/22/2017,20.25,1.35,27.33333333,36.2,234.65,97.93,3.159032258,25.30645161,37.5,435.35,131.69,2.158852459,22.67377049,37.5,792.2,238.19,2.617472527,21.51318681,37.5,1079.2,239.14,1.976363636,20.05123967,37.5,1305.4,290.38,1.923046358,18.47350993,37.5,1457.9,344.84,1.90519337,16.98895028,37.5,1571.9,777.62,2.124644809,19.66557377,40.5,4021.85
2018,summer,Clay,Gate,Clay_Gate,6/18/2018,33.47,2.231333333,29.04,38.1,243.3,40.24,1.298064516,28.42903226,39.9,488.35,108.98,1.786557377,24.73278689,39.9,912.95,137.16,1.507252747,21.71538462,39.9,1140.5,287.65,2.377272727,19.35371901,39.9,1303.95,292.84,1.939337748,17.01523179,39.9,1406.35,328.48,1.81480663,14.71270718,39.9,1450.2,741.37,2.025601093,18.35765027,39.9,3835.45
2019,summer,Clay,Gate,Clay_Gate,6/17/2019,35.78,2.385333333,24.28,34.1,206.4,241.89,7.802903226,24.30645161,34.1,431.25,482.63,7.911967213,21.88852459,34.1,731.05,531.92,5.845274725,19.78571429,35.6,940.5,583.36,4.821157025,16.81570248,35.6,1019.95,601.99,3.986688742,15.1218543,35.6,1121.45,654.02,3.613370166,13.84143646,35.6,1189.05,1329.39,3.632213115,17.80928962,43.8,3569.85
2018,spring,Clay,Middle,Clay_Middle,4/21/2018,0,0,15.01333333,34.4,107.95,28.18,0.909032258,15.77741935,34.4,231.4,177.52,2.910163934,13.9852459,34.4,400.5,183.86,2.02043956,12.04725275,34.4,508.7,193.45,1.598760331,9.719834711,34.4,550.25,223.29,1.478741722,9.92781457,34.4,686.55,253.08,1.398232044,10.70497238,34.4,882.85,764.42,2.088579235,17.87650273,39.6,3668.4
2019,spring,Clay,Middle,Clay_Middle,4/7/2019,17.77,1.184666667,15.52,29.3,100.5,60.45,1.95,14.09354839,29.3,181.55,86.82,1.423278689,10.26065574,29.3,251.05,101.54,1.115824176,9.636263736,29.3,336.35,186.09,1.537933884,8.887603306,29.3,396.85,197.87,1.310397351,8.839735099,29.3,492.4,436.49,2.411546961,9.889502762,29.3,673.75,924.22,2.525191257,18.15874317,43.8,3727.65
2017,fall,Clay,Middle,Clay_Middle,9/18/2017,0,0,24.26,37.6,192.55,78.13,2.520322581,25.26451613,37.6,433.15,184.28,3.020983607,27.1295082,39.6,1044.7,273.51,3.005604396,27.37032967,39.6,1580.35,374.97,3.09892562,26.7322314,39.6,2024.65,406.44,2.691655629,25.41324503,39.6,2346.1,511.5,2.825966851,24.38287293,39.6,2634.3,752.42,2.05579235,19.33743169,39.6,3900.45
2018,fall,Clay,Middle,Clay_Middle,9/17/2018,118.02,7.868,25.27333333,34.9,221.6,146,4.709677419,27.66129032,38.1,486.85,220.71,3.618196721,28.73114754,43.8,1142.6,292.61,3.215494505,29.20769231,43.8,1747.8,332.85,2.750826446,29.01735537,43.8,2301.3,401.59,2.659536424,27.49337748,43.8,2653.6,429.77,2.37441989,25.53314917,43.8,2882.95,759.57,2.075327869,18.80846995,43.8,4000.75
2019,fall,Clay,Middle,Clay_Middle,9/24/2019,5.73,0.382,27.99333333,35.8,236.7,58.62,1.890967742,28.00645161,39.9,483.25,97.74,1.602295082,29.1295082,39.9,1166.4,192.97,2.120549451,28.75274725,39.9,1705.5,397.53,3.285371901,27.85041322,39.9,2158.6,646.78,4.283311258,26.53046358,39.9,2497.15,751.5,4.151933702,24.86906077,39.9,2722.7,1187.26,3.243879781,17.71639344,39.9,3534.85
2017,summer,Clay,Middle,Clay_Middle,6/21/2017,20.25,1.35,27.29333333,36.2,234.8,100.78,3.250967742,25.09354839,37.5,431.05,133.13,2.182459016,22.58032787,37.5,786.5,238.19,2.617472527,21.46813187,37.5,1075.05,239.14,1.976363636,19.95702479,37.5,1295.05,290.38,1.923046358,18.39337748,37.5,1447.55,344.84,1.90519337,16.88176796,37.5,1556.75,777.62,2.124644809,19.67185792,40.5,4024.2
2018,summer,Clay,Middle,Clay_Middle,6/17/2018,33.47,2.231333333,29.22666667,39.9,243.65,42.02,1.355483871,28.32580645,39.9,485.55,108.98,1.786557377,24.6557377,39.9,908.35,137.16,1.507252747,21.60549451,39.9,1130.55,292.84,2.420165289,19.1785124,39.9,1285.7,292.84,1.939337748,16.78344371,39.9,1387,331.65,1.832320442,14.60607735,39.9,1432.7,741.37,2.025601093,18.35846995,39.9,3835.8
2019,summer,Clay,Middle,Clay_Middle,6/16/2019,95.14,6.342666667,24.39333333,34.1,207.2,225.68,7.28,24.33870968,34.1,432.1,466.42,7.646229508,21.83770492,34.1,727.95,515.71,5.667142857,19.63406593,35.6,931.45,567.15,4.687190083,16.71322314,35.6,1013.15,585.78,3.879337748,15.05430464,35.6,1112.8,637.81,3.523812155,13.74309392,35.6,1176.2,1313.18,3.587923497,17.82704918,43.8,3576.45
2018,spring,CrossTimbers,50 Acres,CrossTimbers_50 Acres,4/23/2018,23.91,1.594,13.9,30.8,90.3,80.79,2.606129032,13.80967742,30.8,186,199.45,3.269672131,12.36721311,30.8,322.65,263.02,2.89032967,10.49010989,30.8,409.2,266.22,2.200165289,8.318181818,30.8,439.8,321.16,2.126887417,8.613245033,30.8,559.5,326.05,1.801381215,9.323756906,32.4,718.15,853.15,2.331010929,16.69398907,38.5,3327.7
2019,spring,CrossTimbers,50 Acres,CrossTimbers_50 Acres,4/16/2019,77.67,5.178,15.25333333,31.5,95.8,78.35,2.527419355,13.95483871,31.5,180.25,148.96,2.441967213,10.21967213,31.5,239.9,184.24,2.024615385,8.940659341,31.5,301.05,270.63,2.23661157,8.292561983,31.5,350.05,323.03,2.139271523,8.180794702,31.5,430.45,409.2,2.260773481,8.781767956,31.5,555.3,1073.93,2.934234973,17.08961749,43.7,3403.05
2017,fall,CrossTimbers,50 Acres,CrossTimbers_50 Acres,9/22/2017,14.21,0.947333333,24.28,35,199.1,47.8,1.541935484,24.41612903,35.3,423.3,205.24,3.364590164,26.00491803,38.2,976.15,328.4,3.608791209,26.55164835,38.5,1505.8,389.18,3.216363636,26.18181818,38.5,1957.4,459.78,3.044900662,24.74768212,38.5,2244.3,561.27,3.100939227,23.55856354,38.5,2488.95,898.84,2.455846995,18.20519126,38.5,3575.45
2018,fall,CrossTimbers,50 Acres,CrossTimbers_50 Acres,9/24/2018,98.14,6.542666667,24.43333333,34.4,206.1,125.86,4.06,26.39032258,36.9,466.9,229.36,3.76,26.99672131,39.4,1036.65,276.85,3.042307692,28.07362637,43.7,1644.45,283.62,2.343966942,27.99421488,43.7,2177.25,402.35,2.664569536,26.9205298,43.7,2559.35,460.93,2.546574586,24.61878453,43.7,2722,806.22,2.202786885,17.57131148,43.7,3634.45
2019,fall,CrossTimbers,50 Acres,CrossTimbers_50 Acres,9/29/2019,73.36,4.890666667,27.02666667,35,236.75,122.91,3.96483871,27.14516129,35.8,486.15,232.93,3.81852459,28.21147541,39,1111.05,245.29,2.695494505,27.93846154,39,1632.2,351.12,2.901818182,27.15619835,39,2075.6,539.64,3.573774834,25.91986755,39,2406.45,663.17,3.663922652,24.4558011,39,2641,1217.2,3.32568306,16.81010929,39,3285.2
2017,summer,CrossTimbers,50 Acres,CrossTimbers_50 Acres,7/1/2017,71.22,4.748,26.16666667,36.9,223.05,90.29,2.912580645,25.59354839,36.9,452.65,181.21,2.970655738,23.24262295,36.9,815.25,258.52,2.840879121,21.33736264,36.9,1062.55,287.31,2.37446281,19.86115702,36.9,1270.35,343.43,2.274370861,18.28476821,36.9,1414.6,426.97,2.358950276,16.39392265,36.9,1493.45,789.12,2.156065574,18.53360656,38.9,3696.2
2018,summer,CrossTimbers,50 Acres,CrossTimbers_50 Acres,6/29/2018,2.63,0.175333333,28.81333333,38.5,245.35,6.77,0.218387097,28.22258065,38.5,497.7,125.5,2.057377049,25.98852459,38.5,975.4,161.66,1.776483516,21.83406593,38.5,1149.35,230.65,1.906198347,19.72396694,38.5,1321.45,398.58,2.639602649,17.06291391,38.5,1400.7,401.93,2.220607735,14.77734807,38.5,1453.7,825.5,2.255464481,17.25519126,38.5,3518.4
2019,summer,CrossTimbers,50 Acres,CrossTimbers_50 Acres,6/25/2019,53.31,3.554,24.37333333,34.1,204.1,116.32,3.752258065,24.29032258,34.1,429.15,314,5.147540984,22.26721311,34.1,751.15,417.88,4.592087912,20.02087912,34.1,950.55,471.66,3.898016529,17.24380165,34.1,1053,518.4,3.433112583,15.12781457,34.1,1114,610.06,3.370497238,13.49226519,34.1,1155.4,1260.39,3.443688525,16.76612022,43.7,3269.1
2018,spring,CrossTimbers,East,CrossTimbers_East,4/23/2018,23.91,1.594,13.9,30.8,90.3,80.79,2.606129032,13.80967742,30.8,186,199.45,3.269672131,12.36721311,30.8,322.65,263.02,2.89032967,10.49010989,30.8,409.2,266.22,2.200165289,8.318181818,30.8,439.8,321.16,2.126887417,8.613245033,30.8,559.5,326.05,1.801381215,9.323756906,32.4,718.15,853.15,2.331010929,16.69398907,38.5,3327.7
2019,spring,CrossTimbers,East,CrossTimbers_East,4/16/2019,77.67,5.178,15.25333333,31.5,95.8,78.35,2.527419355,13.95483871,31.5,180.25,148.96,2.441967213,10.21967213,31.5,239.9,184.24,2.024615385,8.940659341,31.5,301.05,270.63,2.23661157,8.292561983,31.5,350.05,323.03,2.139271523,8.180794702,31.5,430.45,409.2,2.260773481,8.781767956,31.5,555.3,1073.93,2.934234973,17.08961749,43.7,3403.05
2017,fall,CrossTimbers,East,CrossTimbers_East,9/22/2017,14.21,0.947333333,24.28,35,199.1,47.8,1.541935484,24.41612903,35.3,423.3,205.24,3.364590164,26.00491803,38.2,976.15,328.4,3.608791209,26.55164835,38.5,1505.8,389.18,3.216363636,26.18181818,38.5,1957.4,459.78,3.044900662,24.74768212,38.5,2244.3,561.27,3.100939227,23.55856354,38.5,2488.95,898.84,2.455846995,18.20519126,38.5,3575.45
2018,fall,CrossTimbers,East,CrossTimbers_East,9/24/2018,98.14,6.542666667,24.43333333,34.4,206.1,125.86,4.06,26.39032258,36.9,466.9,229.36,3.76,26.99672131,39.4,1036.65,276.85,3.042307692,28.07362637,43.7,1644.45,283.62,2.343966942,27.99421488,43.7,2177.25,402.35,2.664569536,26.9205298,43.7,2559.35,460.93,2.546574586,24.61878453,43.7,2722,806.22,2.202786885,17.57131148,43.7,3634.45
2019,fall,CrossTimbers,East,CrossTimbers_East,9/29/2019,73.36,4.890666667,27.02666667,35,236.75,122.91,3.96483871,27.14516129,35.8,486.15,232.93,3.81852459,28.21147541,39,1111.05,245.29,2.695494505,27.93846154,39,1632.2,351.12,2.901818182,27.15619835,39,2075.6,539.64,3.573774834,25.91986755,39,2406.45,663.17,3.663922652,24.4558011,39,2641,1217.2,3.32568306,16.81010929,39,3285.2
2017,summer,CrossTimbers,East,CrossTimbers_East,7/1/2017,71.22,4.748,26.16666667,36.9,223.05,90.29,2.912580645,25.59354839,36.9,452.65,181.21,2.970655738,23.24262295,36.9,815.25,258.52,2.840879121,21.33736264,36.9,1062.55,287.31,2.37446281,19.86115702,36.9,1270.35,343.43,2.274370861,18.28476821,36.9,1414.6,426.97,2.358950276,16.39392265,36.9,1493.45,789.12,2.156065574,18.53360656,38.9,3696.2
2018,summer,CrossTimbers,East,CrossTimbers_East,6/29/2018,2.63,0.175333333,28.81333333,38.5,245.35,6.77,0.218387097,28.22258065,38.5,497.7,125.5,2.057377049,25.98852459,38.5,975.4,161.66,1.776483516,21.83406593,38.5,1149.35,230.65,1.906198347,19.72396694,38.5,1321.45,398.58,2.639602649,17.06291391,38.5,1400.7,401.93,2.220607735,14.77734807,38.5,1453.7,825.5,2.255464481,17.25519126,38.5,3518.4
2019,summer,CrossTimbers,East,CrossTimbers_East,6/24/2019,64.68,4.312,24.26666667,34.1,202.75,116.32,3.752258065,24.30322581,34.1,429.75,314,5.147540984,22.1295082,34.1,742.7,417.88,4.592087912,19.89230769,34.1,941,471.66,3.898016529,17.11487603,34.1,1042.9,518.4,3.433112583,14.99271523,34.1,1100.7,610.32,3.371933702,13.42320442,34.1,1144.4,1260.39,3.443688525,16.77568306,43.7,3272.6
2018,spring,CrossTimbers,Highway,CrossTimbers_Highway,4/23/2018,23.91,1.594,13.9,30.8,90.3,80.79,2.606129032,13.80967742,30.8,186,199.45,3.269672131,12.36721311,30.8,322.65,263.02,2.89032967,10.49010989,30.8,409.2,266.22,2.200165289,8.318181818,30.8,439.8,321.16,2.126887417,8.613245033,30.8,559.5,326.05,1.801381215,9.323756906,32.4,718.15,853.15,2.331010929,16.69398907,38.5,3327.7
2019,spring,CrossTimbers,Highway,CrossTimbers_Highway,4/16/2019,77.67,5.178,15.25333333,31.5,95.8,78.35,2.527419355,13.95483871,31.5,180.25,148.96,2.441967213,10.21967213,31.5,239.9,184.24,2.024615385,8.940659341,31.5,301.05,270.63,2.23661157,8.292561983,31.5,350.05,323.03,2.139271523,8.180794702,31.5,430.45,409.2,2.260773481,8.781767956,31.5,555.3,1073.93,2.934234973,17.08961749,43.7,3403.05
2017,fall,CrossTimbers,Highway,CrossTimbers_Highway,9/22/2017,14.21,0.947333333,24.28,35,199.1,47.8,1.541935484,24.41612903,35.3,423.3,205.24,3.364590164,26.00491803,38.2,976.15,328.4,3.608791209,26.55164835,38.5,1505.8,389.18,3.216363636,26.18181818,38.5,1957.4,459.78,3.044900662,24.74768212,38.5,2244.3,561.27,3.100939227,23.55856354,38.5,2488.95,898.84,2.455846995,18.20519126,38.5,3575.45
2018,fall,CrossTimbers,Highway,CrossTimbers_Highway,9/24/2018,98.14,6.542666667,24.43333333,34.4,206.1,125.86,4.06,26.39032258,36.9,466.9,229.36,3.76,26.99672131,39.4,1036.65,276.85,3.042307692,28.07362637,43.7,1644.45,283.62,2.343966942,27.99421488,43.7,2177.25,402.35,2.664569536,26.9205298,43.7,2559.35,460.93,2.546574586,24.61878453,43.7,2722,806.22,2.202786885,17.57131148,43.7,3634.45
2019,fall,CrossTimbers,Highway,CrossTimbers_Highway,9/29/2019,73.36,4.890666667,27.02666667,35,236.75,122.91,3.96483871,27.14516129,35.8,486.15,232.93,3.81852459,28.21147541,39,1111.05,245.29,2.695494505,27.93846154,39,1632.2,351.12,2.901818182,27.15619835,39,2075.6,539.64,3.573774834,25.91986755,39,2406.45,663.17,3.663922652,24.4558011,39,2641,1217.2,3.32568306,16.81010929,39,3285.2
2017,summer,CrossTimbers,Highway,CrossTimbers_Highway,7/9/2017,92.27,6.151333333,26.26666667,35.1,225.85,135.34,4.365806452,26.43225806,36.9,469.35,242.42,3.974098361,24.4147541,36.9,879.2,272.42,2.993626374,22.26373626,36.9,1138.45,350.3,2.895041322,20.74710744,36.9,1356.85,406.7,2.693377483,19.08410596,36.9,1513.6,484.02,2.674143646,17.53535912,36.9,1618.6,849.62,2.32136612,18.48196721,38.9,3677.4
2018,summer,CrossTimbers,Highway,CrossTimbers_Highway,6/29/2018,2.63,0.175333333,28.81333333,38.5,245.35,6.77,0.218387097,28.22258065,38.5,497.7,125.5,2.057377049,25.98852459,38.5,975.4,161.66,1.776483516,21.83406593,38.5,1149.35,230.65,1.906198347,19.72396694,38.5,1321.45,398.58,2.639602649,17.06291391,38.5,1400.7,401.93,2.220607735,14.77734807,38.5,1453.7,825.5,2.255464481,17.25519126,38.5,3518.4
2019,summer,CrossTimbers,Highway,CrossTimbers_Highway,6/25/2019,53.31,3.554,24.37333333,34.1,204.1,116.32,3.752258065,24.29032258,34.1,429.15,314,5.147540984,22.26721311,34.1,751.15,417.88,4.592087912,20.02087912,34.1,950.55,471.66,3.898016529,17.24380165,34.1,1053,518.4,3.433112583,15.12781457,34.1,1114,610.06,3.370497238,13.49226519,34.1,1155.4,1260.39,3.443688525,16.76612022,43.7,3269.1
2018,spring,CrossTimbers,Middle,CrossTimbers_Middle,4/23/2018,23.91,1.594,13.9,30.8,90.3,80.79,2.606129032,13.80967742,30.8,186,199.45,3.269672131,12.36721311,30.8,322.65,263.02,2.89032967,10.49010989,30.8,409.2,266.22,2.200165289,8.318181818,30.8,439.8,321.16,2.126887417,8.613245033,30.8,559.5,326.05,1.801381215,9.323756906,32.4,718.15,853.15,2.331010929,16.69398907,38.5,3327.7
2019,spring,CrossTimbers,Middle,CrossTimbers_Middle,4/16/2019,77.67,5.178,15.25333333,31.5,95.8,78.35,2.527419355,13.95483871,31.5,180.25,148.96,2.441967213,10.21967213,31.5,239.9,184.24,2.024615385,8.940659341,31.5,301.05,270.63,2.23661157,8.292561983,31.5,350.05,323.03,2.139271523,8.180794702,31.5,430.45,409.2,2.260773481,8.781767956,31.5,555.3,1073.93,2.934234973,17.08961749,43.7,3403.05
2017,fall,CrossTimbers,Middle,CrossTimbers_Middle,9/22/2017,14.21,0.947333333,24.28,35,199.1,47.8,1.541935484,24.41612903,35.3,423.3,205.24,3.364590164,26.00491803,38.2,976.15,328.4,3.608791209,26.55164835,38.5,1505.8,389.18,3.216363636,26.18181818,38.5,1957.4,459.78,3.044900662,24.74768212,38.5,2244.3,561.27,3.100939227,23.55856354,38.5,2488.95,898.84,2.455846995,18.20519126,38.5,3575.45
